vm,timestamp,end_time,odo,end_odo,soc,end_soc,duration,event_emb_0,event_emb_1,charge_mode_emb_0,charge_mode_emb_1
1.0,2021-01-01 20:31:00,2021-01-01 20:38:00,443.664,443.947,564.0,549.0,7.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
1.0,2021-01-01 20:39:00,2021-02-01 15:13:00,443.947,443.947,549.0,100.0,44314.0,-0.14476336538791656,0.4311279356479645,-0.4692057967185974,0.8536216616630554
1.0,2021-02-01 15:13:00,2021-02-01 15:21:00,443.947,444.25,100.0,100.0,8.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
1.0,2021-02-01 15:21:00,2021-02-01 17:46:00,444.25,445.713,100.0,945.0,145.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
1.0,2021-02-01 17:46:00,2021-02-01 17:53:00,445.713,446.145,945.0,945.0,7.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
1.0,2021-02-01 18:18:00,2021-02-01 18:19:00,446.145,446.148,941.0,941.0,1.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
1.0,2021-02-01 21:28:00,2021-02-01 21:47:00,446.148,448.075,937.0,894.0,19.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
1.0,2021-03-01 14:08:00,2021-03-01 15:01:00,448.075,456.017,89.0,701.0,53.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
1.0,2021-03-01 15:18:00,2021-03-01 15:21:00,456.017,456.036,,701.0,3.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
1.0,2021-03-01 19:35:00,2021-03-01 21:04:00,456.036,465.694,705.0,439.0,89.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
1.0,2021-03-01 21:17:00,2021-03-01 21:18:00,465.694,465.823,435.0,435.0,1.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
1.0,2021-03-01 21:18:00,2021-03-01 21:56:00,465.823,465.823,435.0,466.0,38.0,-0.14476336538791656,0.4311279356479645,-0.4692057967185974,0.8536216616630554
1.0,2021-03-01 21:56:00,2021-03-01 22:00:00,465.823,465.891,466.0,466.0,4.0,0.7203443646430969,0.6637917757034302,0.5576421618461609,-0.10990729182958603
