vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
-8.99632E+18,08/02/2021 14:41,08/02/2021 14:44,9421.578125,9423.296875,10.5,10.1,trip,
-8.99632E+18,08/02/2021 14:58,08/02/2021 15:03,9423.296875,9425.171875,10.1,10.1,trip,
-8.99632E+18,08/02/2021 17:25,08/02/2021 17:32,9425.171875,9428,9.8,8.6,trip,
-8.99632E+18,08/02/2021 17:34,08/02/2021 17:39,9428,9428,8.6,8.6,trip,
-8.99632E+18,08/02/2021 17:39,08/02/2021 18:01,9428,9436.203125,8.6,7.8,trip,
-8.99632E+18,08/02/2021 18:01,08/02/2021 18:01,9436.203125,9436.203125,7.8,7.8,trip,
-8.99632E+18,08/02/2021 18:07,08/02/2021 18:54,9436.203125,9436.203125,7.8,58,charge,DC Charging
-8.99632E+18,08/02/2021 18:54,08/02/2021 18:54,9436.203125,9436.203125,58,58,trip,
-8.99632E+18,08/02/2021 18:54,08/02/2021 19:13,9436.203125,9436.203125,58,74.5,charge,DC Charging
-8.99632E+18,08/02/2021 19:13,08/02/2021 19:23,9436.203125,9439.96875,74.5,73.3,trip,
-8.99632E+18,08/02/2021 19:23,08/02/2021 19:27,9439.96875,9441.171875,73.3,72.9,trip,
-8.99632E+18,10/02/2021 18:59,10/02/2021 19:00,9441.1875,9441.203125,71.3,71.3,trip,
-8.99632E+18,10/02/2021 19:01,11/02/2021 09:55,9441.203125,9441.203125,71.3,100,charge,240
-8.99632E+18,11/02/2021 09:55,11/02/2021 10:57,9441.203125,9520.515625,100,82.3,trip,
-8.99632E+18,11/02/2021 13:30,11/02/2021 14:24,9520.515625,9599.359375,81.9,60,trip,
-8.99632E+18,11/02/2021 14:25,11/02/2021 18:33,9599.359375,9599.359375,60,81.9,charge,240
-8.99632E+18,11/02/2021 18:33,11/02/2021 18:43,9599.359375,9602.375,81.9,81.9,trip,
-8.99632E+18,11/02/2021 18:51,11/02/2021 19:00,9602.375,9604.4375,81.5,81.1,trip,
-8.99632E+18,11/02/2021 19:05,11/02/2021 20:16,9604.4375,9690.875,80.7,62.7,trip,
-8.99632E+18,11/02/2021 21:12,11/02/2021 21:24,9690.875,9695.40625,61.9,61.5,trip,
-8.99632E+18,11/02/2021 21:37,11/02/2021 23:04,9695.40625,9785.4375,61.1,36.8,trip,
-8.99632E+18,11/02/2021 23:05,12/02/2021 14:16,9785.4375,9785.4375,36.8,100,charge,240
-8.99632E+18,12/02/2021 14:16,12/02/2021 14:30,9785.4375,9793.375,100,98.8,trip,
-8.99632E+18,12/02/2021 14:30,12/02/2021 15:44,9793.375,9793.375,98.8,98.8,charge,240
-8.99632E+18,12/02/2021 15:44,12/02/2021 15:58,9793.375,9801.546875,98.8,96.8,trip,
-8.99632E+18,12/02/2021 17:32,12/02/2021 19:03,9801.546875,9894.421875,96,74.1,trip,
-8.99632E+18,12/02/2021 20:06,12/02/2021 22:20,9894.421875,9980.3125,73.7,55.6,trip,
-8.99632E+18,12/02/2021 22:20,13/02/2021 12:32,9980.3125,9980.3125,55.6,100,charge,240
-8.99632E+18,13/02/2021 12:32,13/02/2021 13:23,9980.3125,10062.89063,100,79.2,trip,
-8.99632E+18,13/02/2021 13:52,13/02/2021 13:53,10062.90625,10063.0625,78.8,78.8,trip,
-8.99632E+18,13/02/2021 13:53,13/02/2021 22:27,10063.0625,10063.09375,78.8,79.2,trip,
-8.99632E+18,13/02/2021 22:27,13/02/2021 23:16,10063.09375,10142.79688,79.2,56,trip,
