vin,tmestamp,end_tme,odo,end_odo,soc,end_soc,event,charge_mode
·2.47174£+18,30/05/2021 21:37,31/05/202115:32,"9,883,421,875","9,883,421,875",513,725,charge,
·2.47174£+18,31/05/202 115:32,31/05/2021 16:58,"9,883,421,875","9,987,890,625",725,509,trip,
·2.47174E+18,31/05/202117:05,31/05/202117:42,"9,987,890,625","1,002,954,688",509,419,trip,
·2.47174£+18,31/05/202 118:08,31/05/2021 18:36,"1,002,954,688","1,005,534,375",415,36,trip,
·2.47174E+18,31/05/202 118:47,31/05/2021 19:43,"1,005,534,375","1,010,698,438",36,258,trip,
·2.47174£+18,31/05/202119:44,31/05/2021 20:17,"1,010,698,438","1,010,698,438",258,576,charge,DCCharging 
·2.47174£+18,31/05/202 120:17,31/05/2021 20:19,"1,010,698,438","1,010,707,813",576,576,trip,
·2.47174E+18,31/05/202120:27,31/05/2021 21:04,"1,010,707,813","101,275",576,529,trip,
·2.47174£+18,31/05/202 12 1:06,01/06/2021 00:14,"101,275","101,275",529,56,charge,120       
-2.47174£+18,01/06/202100:14,01/06/202102 :20,"101,275","1,023,065,625",56,372,trip,
·2.47174£+18,01/06/2021 02:21,01/06/2021 03:23,"1,023,065,625","1,023,065,625",372,858,charge,DCCharging 
·2.47174£+18,01/06/202103:23,01/06/202103:37,"1,023,065,625","1,023,967,188",858,839,trip,
·2.47174E+18,01/06/2021 03:38,01/06/202115:15,"1,023,967,188","1,023,967,188",839,charge,120       
·2.47174£+18,01/06/202 115:15,01/06/2021 18:12,"1,023,967,188","1,036,871,875",741,trip,
·2.47174E•18,01/06/202118:35,01/06/2021 20;58,"1,036,871,875","1,044,139,063",733,603,trip,
·2.47174£+18,01/06/202 121:00,01/06/2021 21:15,"1,044,139,063","1,045,075",603,584,trip,
·2.47174£+18,01/06/202121:16,02/06/2021 14:58,"1,045,075","1,045,075",584,792,charge,120
·2.47174E+18,02/06/202114:58,02/06/202115:26,"1,045,075","104,645",792,772,trip,
·2.47174£+18,02/06/202 116:11,02/06/2021 16:31,"104,645","1,047,614,063",768,752,trip,
·2.47174E+18,02/06/202116:32,02/06/2021 17:29,"1,047,614,063","1,047,614,063",752,756,charge,
·2.47174£+18,02/06/202 117:29,02/06/2021 21:25,"1,047,614,063","1,060,826,563",756,509,trip,
·2.47174£+18,02/06/202121:26,03/06/202113:25,"1,060,826,563","1,060,826,563",509,698,charge,120
·2.47174E+18,03/06/202113:25,03/06/202113:39,"1,060,826,563","1,061,623,438",698,694,trip,
·2.47174£+18,03/06/202 113:49,03/06/202113:56,"1,061,623,438","1,062,057,813",686,682,trip,
·2.47174E+18,03/06/202114:01,03/06/2021 14:13,"1,062,057,813","1,062,765,625",678,67,trip,
·2.47174£+18,03/06/202 115:19,03/06/2021 19:20,"1,062,765,625","1,076,382,813",654,403,trip,
·2.47174£+18,03/06/202119:22,03/06/2021 19:53,"1,076,382,813","1,076,382,813",403,705,charge,
·2.47174E+18,03/06/202119:53,03/06/2021 21:32,"1,076,382,813","108,186,875",705,60,trip,
·2.47174£+18,03/06/202 12 1:32,04/06/2021 10:15,"108,186,875","108,186,875",60,745,charge,120        
·2.47174E+18,04/06/202110:15,04/06/202110:51,"108,186,875","1,085,332,813",745,694,trip,
·2.47174£+18,04/06/202 110:52,04/06/202111:02,"1,085,332,813","1,085,332,813",694,698,charge,240         
·2.47174£+18,04/06/202111:02,04/06/202111:37,"1,085,332,813","108,855",698,643,trip,
