vin,,,,,,,,,
-  timestamp,,,,,,,,,
,,end_time,odo,end_odo,soc,end_soc,event,,charce_mode
·2.47174E+18,04/06/202111:38,04/06/202114:09,"108,855","108,855",643,666,charge,,120
·2.47174E+l8,04/06/202114:09,04/06/202114:16,"108,855","108,881,875",666,666,trip,,
·2.47174E+18,04/06/202114:19,04/06/202114:20,"108,881,875","108,885",666,666,ttip,,
·2.47174E+l8,04/06/202114:31,04/06/202114:37,"108,885","1,089,109,375",662,658,trip,,
·2.47174£+18,04/06/202114:39,04/06/202118:36,"1,089,109,375","1,089,109,375",658,701,charge,,
·2.47174£+18,04/06/202118:36,04/06/2021 21:12,"1,089,109,375","109,523,125",701,596,trip,,
·2.47174E+l8,04/06/2021 21:27,04/06/2021 22:26,"109,523,125","1,099,203,125",592,521,trip,,
·2.47174E+18,04/06/2021 22:27,05/06/2021 02 :55,"1,099,203,125","1,099,203,125",521,568,charge,,120
·2.47174E+l8,05/06/2021 02:55,05/06/202102 :57,"1,099,203,125","1,099,203,125",568,568,trip,,
·2.47174£+18,05/06/2021 02:57,05/06/202111 :39,"1,099,203,125","1,099,203,125",568,674,charge,,120
·2.47174£+18,05/06/202111:39,05/06/202114:15,"1,099,203,125","110,868,125",674,505,trip,,
·2.47174£+18,05/06/202114:15,05/06/202114:27,"110,868,125","110,868,125",505,505,charge,,120
-2.47174E+18,05/06/202114:27,05/06/202114 :33,11086..8125,"1,108,946,875",505,505,ttip,,
·2.47174E+l8,05/06/202114:34,05/06/202114:37,"1,108,946,875","1,108,976,563",505,505,trip,,
-2.47174£+18,05/06/202114:55,05/06/202115:03,"1,108,976,563","11,092,625",505,498,trip,,
·2.47174£+18,05/06/202115:08,05/06/202115:36,"11,092,625","11,092,625",498,501,charge,,
-2.47174£+18,05/06/202115:36,05/06/202115:50,"11,092,625","1,110,015,625",501,486,trip,,
-2.47174E+18,05/06/202115:53,05/06/202116:09,"1,110,015,625","111,098,125",486,474,trip,,
·2.47174E+l8,05/06/202116:10,05/06/202118:29,11109..8125,"111,098,125",474,494,charge,,120
-2.47174£+18,05/06/202118:29,05/06/202118:48,11109•.8125,"1,112,120,313",494,482,trip,,
·2.47174E+18,05/06/202118:49,05/06/2021 21:06,"1,112,120,313","1,112,120,313",482,674,charge,,240
-2.47174£+18,05/06/2021 21:06,05/06/2021 23:32,"1,112,120,313","1,121,001,563",674,498,trip,,
-2.47174E+18,05/06/2021 23:33,06/06/202116:41,"1,121,001,563","1,121,001,563",498,701,charge,,120
·2.47174E+l8,06/06/202116:41,06/06/202117:34,"1,121,001,563","11,253,875",701,60,trip,,
-2.47174£+18,06/06/202118:29,06/06/2021 22:00,"11,253,875","1,140,896,875",60,286,trip,,
·2.47174£+18,06/06/2021 22:01,06/06/2021 22 :32,"1,140,896,875","1,140,896,875",286,623,charge,,DC Charging
-2.47174£+18,06/06/2021 22:32,06/06/2021 22:52,"1,140,896,875","114,299,375",623,588,trip,,
-2.47174E+18,06/06/2021 22:52,06/06/2021 23:39,11429 9375,"114,299,375",588,615,charge,,240
·2.47174E+l8,06/06/2021 23:39,07/06/202101:27,"114,299,375","1,153,403,125",615,376,trip,,
-2.47174£+18,07/06/2021 02:55,07/06/202118:12,"1,153,403,125","1,153,403,125",376,,charge,,
·2.47174E+18,07/06/202118:12,07/06/202118:51,"1,153,403,125","1,155,907,813",,498,trip,,
-2.47174£+18,07/06/202118:54,07/06/202119:48,"1,155,907,813","1,160,396,875",498,411,trip,,
