vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
-8.99632E+18,01/04/2021 10:32,01/04/2021 12:01,16881.03125,16967.8125,100,82.3,trip,
-8.99632E+18,01/04/2021 12:01,01/04/2021 13:25,16967.8125,16975.625,82.3,80,trip,
-8.99632E+18,01/04/2021 13:25,01/04/2021 14:44,16975.625,17066.9375,80,59.2,trip,
-8.99632E+18,01/04/2021 14:45,01/04/2021 18:37,17066.9375,17066.9375,59.2,79.6,charge,240
-8.99632E+18,01/04/2021 18:37,01/04/2021 18:37,17066.9375,17066.9375,79.6,79.6,trip,
-8.99632E+18,01/04/2021 18:37,01/04/2021 18:38,17066.9375,17066.9375,79.6,79.6,charge,
-8.99632E+18,01/04/2021 18:38,01/04/2021 19:48,17066.9375,17152.48438,79.6,63.5,trip,
-8.99632E+18,01/04/2021 22:28,01/04/2021 23:36,17152.48438,17241.0625,63.9,41.9,trip,
-8.99632E+18,01/04/2021 23:40,02/04/2021 14:07,17241.0625,17241.0625,41.9,100,charge,240
-8.99632E+18,02/04/2021 14:07,02/04/2021 14:26,17241.0625,17259.32813,100,96,trip,
-8.99632E+18,02/04/2021 15:51,02/04/2021 17:37,17259.32813,17342.0625,95.6,77.6,trip,
-8.99632E+18,02/04/2021 17:37,02/04/2021 18:55,17342.0625,17342.14063,77.6,77.2,trip,
-8.99632E+18,02/04/2021 18:55,02/04/2021 19:36,17342.14063,17357.57813,77.2,74.9,trip,
-8.99632E+18,02/04/2021 21:46,02/04/2021 22:51,17357.59375,17443.26563,74.5,51.3,trip,
-8.99632E+18,02/04/2021 23:34,03/04/2021 08:36,17443.26563,17443.26563,51.3,100,charge,240
-8.99632E+18,03/04/2021 08:36,03/04/2021 16:03,17443.26563,17564.82813,100,71.7,trip,
-8.99632E+18,03/04/2021 16:03,03/04/2021 16:09,17564.82813,17566.54688,71.7,71.3,trip,
-8.99632E+18,05/04/2021 13:26,05/04/2021 13:32,17566.54688,17568.60938,70.5,70.5,trip,
-8.99632E+18,05/04/2021 13:40,05/04/2021 13:48,17568.60938,17572.51563,70.1,69.4,trip,
-8.99632E+18,05/04/2021 13:48,05/04/2021 17:44,17572.51563,17578.92188,69.4,67.8,trip,
-8.99632E+18,05/04/2021 17:44,05/04/2021 19:09,17578.92188,17694.46875,67.8,30.5,trip,
-8.99632E+18,05/04/2021 19:10,05/04/2021 22:58,17694.46875,17694.46875,30.5,50.9,charge,240
-8.99632E+18,05/04/2021 22:58,05/04/2021 23:05,17694.46875,17697.17188,50.9,50.9,trip,
-8.99632E+18,05/04/2021 23:24,05/04/2021 23:30,17697.17188,17699.84375,50.9,50.5,trip,
-8.99632E+18,05/04/2021 23:30,07/04/2021 15:17,17699.84375,17699.85938,50.5,100,charge,240
-8.99632E+18,07/04/2021 15:17,07/04/2021 15:24,17699.85938,17706.25,100,99.2,trip,
-8.99632E+18,07/04/2021 16:20,07/04/2021 16:29,17706.25,17713.23438,98.4,96,trip,
-8.99632E+18,07/04/2021 16:56,07/04/2021 18:08,17713.25,17803.125,95.2,75.2,trip,
-8.99632E+18,07/04/2021 19:04,07/04/2021 19:25,17803.125,17809.0625,74.9,74.1,trip,
-8.99632E+18,07/04/2021 20:45,07/04/2021 20:58,17809.0625,17813.51563,73.7,72.9,trip,
-8.99632E+18,07/04/2021 21:04,07/04/2021 22:26,17813.51563,17895.4375,72.1,49.8,trip,
-8.99632E+18,07/04/2021 22:57,07/04/2021 23:07,17895.4375,17902.92188,49.4,48.2,trip,
