vin           '..,tim•stamp,end_time,odo,end_odo,soc,end_soc,event,,charce_mode
·2.47174E+l8,10/06/2021 02:56,10/06/2021 03:58,"1,236,995,313","1,241,585,938",878,764,trip,,
-2.47174E+l8,10/06/2021 03:59,10/06/202113:07,"1,241,585,938","1,241,585,938",764,87,charge,,120
-2.47174E+l8,10/06/202113:07,10/06/202113:44,"1,241,585,938","1,242,665,625",87,85,trip,,
·2.47174E+18,10/06/202113:46,10/06/202115:18,"1,242,665,625","1,251,114,063",85,686,trip,,
-2.47174E+18,10/06/202115:48,10/06/202118:49,"1,251,114,063","1,265,295,313",682,423,trip,,
·2.47174E+l8,10/06/2021 18:50,10/06/2021 21:42,"1,265,295,313","1,265,295,313",423,45,charge,,120
-2.47174E+18,10/06/2021 21:42,10/06/2021 23:13,"1,265,295,313","127,085,625",45,356,trip,,
-2.47174E+18,10/06/2021 23:14,10/06/2021 23:44,"127,085,625","127,085,625",356,67,charge,,DC Charging
·2.47174E+18,10/06/2021 23:44,11/06/202100 :20,"127,085,625",12734,67,623,trip,,
-2.47174E+18,11/06/2021 00:20,11/06/202116:41,12734,12734,623,815,charge,,120
·2.47174E+l8,11/06/202116:41,11/06/202119:18,12734,"1,282,329,688",815,654,trip,,
-2.47174E+18,11/06/202119:19,11/06/202119:52,"1,282,329,688","1,282,329,688",654,831,charge,,
-2.47174E+18,11/06/202119:52,11/06/2021 23:09,"1,282,329,688","1,294,301,563",831,611,trip,,
·2.47174E+18,11/06/2021 23:25,12/06/202101:38,"1,294,301,563","130,365",611,419,trip,,
-2.47174E+18,12/06/2021 01:39,12/06/202101:46,"130,365","130,365",419,419,charge,,120
·2.47174E+l8,12/06/2021 01:46,12/06/2021 03:31,"130,365","13,116,875",419,262,trip,,
-2.47174E+18,12/06/2021 03:32,12/06/202104:33,"13,116,875","13,116,875",262,772,charge,,DC Charging
-2.47174E+18,12/06/2021 04:33,12/06/202104:47,"13,116,875","1,312,589,063",772,756,trip,,
·2.47174E+18,12/06/2021 04:48,12/06/202118:21,"1,312,589,063","1,312,589,063",756,921,charge,,120
-2.47174E+18,12/06/202118:21,12/06/2021 20:09,"1,312,589,063","131,914,375",921,80,trip,,
·2.47174E+l8,12/06/202120:11,12/06/2021 20:18,"131,914,375",13194,80,788,trip,,
-2.47174E+18,12/06/2021 20:28,13/06/2021 00:19,13194,"1,338,890,625",788,38,trip,,
-2.47174E+18,13/06/2021 00:28,13/06/202102 :14,"1,338,890,625","1,347,903,125",38,145,trip,,
·2.47174E+18,13/06/202102:15,13/06/202103:16,"1,347,903,125","1,347,903,125",145,643,charge,,DC Charging
-2.47174E+18,13/06/2021 03:16,13/06/202103:30,"1,347,903,125","134,880,625",643,619,trip,,
·2.47174E+18,13/06/2021 03:31,13/06/202113:30,"134,880,625","134,880,625",619,737,charge,,120
-2.47174E+18,13/06/202113:30,13/06/202113:31,"134,880,625","1,348,835,938",737,737,trip,,
-2.47174E+18,13/06/202114:14,13/06/202114:26,"1,348,835,938","1,349,159,375",733,721,trip,,
·2.47174E+l8,13/06/202114:27,13/06/202114:43,"1,349,159,375","1,349,159,375",721,721,charge,,
-2.47174E+18,13/06/202114:43,13/06/202116:16,"1,349,159,375","1,354,204,688",721,627,trip,,
·2.47174E+l8,13/06/202117:10,13/06/202117:28,"1,354,204,688","1,355,042,188",627,603,trip,,
-2.47174E+l8,13/06/202117:47,13/06/2021 20:06,"1,355,042,188","1,363,348,438",60,423,trip,,
