--  -,,,,,,,,,
vin,timestamp,end_tim•,odo,end_odo,soc,end_soc,event,,charce_mode
·2.47174E+18,15/06/202119:53,15/06/2021 22 :41,"1,432,726,563","1,432,726,563",29,541,charge,,240
·2.47174E+l8,15/06/202122:41,15/06/2021 22:42,"1,432,726,563","1,432,748,438",541,541,trip,,
·2.47174E+18,16/06/2021 00:59,16/06/202101 :14,"1,432,748,438","1,433,998,438",521,494,trip,,
·2.47174E+l8,16/06/202 101:14,16/06/2021 08:01,"1,433,998,438","1,433,998,438",494,572,charge,,120
·2.47174E+18,16/06/2021 08:01,16/06/202110:52,"1,433,998,438","144,775,625",572,266,trip,,
·2.47174E+18,16/06/202110:55,16/06/202111:10,"144,775,625",14487,266,247,trip,,
·2.47174E+l8,16/06/202111:11,16/06/2021 12:12,14487,14487,247,776,charge,,DC Charging
-2.47174E+18,16/06/202112:12,16/06/202112:53,14487,"1,450,675",776,737,Uip,,
·2.47174E+l8,16/06/202112:54,16/06/202113:58,"1,450,675","1,454,623,438",737,662,trip,,
-2.47174E+l8,16/06/202114:08,16/06/202116:13,"1,454,623,438","1,464,432,813",658,47,trip,,
·2.47174E+18,16/06/202116:14,16/06/202117:36,"1,464,432,813","1,464,432,813",47,482,charge,,120
·2.47174E+l8,16/06/202117:36,16/06/2021 18:08,"1,464,432,813","1,465,970,313",482,462,trip,,
-2.47174E+18,16/06/202118:29,16/06/202118:37,"1,465,970,313","1,466,435,938",454,454,Uip,,
·2.47174E+l8,16/06/202119:13,16/06/2021 19:18,"1,466,435,938","1,466,507,813",447,447,trip,,
·2.47174£•18,16/06/202119;31,16/06/202119;50,"1,466,507,813","1,467,717,188",447,415,trip,,
·2.47174E+18,16/06/202119:53,16/06/2021 20:38,"1,467,717,188","1,467,717,188",415,423,charge,,120
·2.47174E+l8,16/06/2021 20:38,16/06/2021 20:55,"1,467,717,188","146,873,125",423,407,trip,,
-2.47174E+18,16/06/2021 21:10,16/06/2021 21:18,"146,873,125","1,469,114,063",407,403,Uip,,
·2.47174E+l8,16/06/2021 22:56,16/06/2021 23:11,"1,469,114,063","1,470,310,938",376,349,trip,,
-2.47174E+18,16/06/2021 23:13,16/06/2021 23:32,"1,470,310,938","1,470,310,938",349,349,charge,,
·2.47174E+18,16/06/2021 23:32,16/06/2021 23:42,"1,470,310,938","1,470,657,813",349,349,trip,,
·2.47174E+l8,16/06/2021 23:42,16/06/2021 23:45,"1,470,657,813","1,470,889,367",349,345,trip,,
-2.47174E+18,16/06/2021 23:45,17/06/202109:58,"1,470,889,367","1,470,889,367",345,47,charge,,120
·2.47174E+l8,17/06/202109:58,17/06/2021 12 :05,"1,470,889,367","1,481,342,188",47,29,trip,,
-2.47174E+18,17/06/202112:25,17/06/202114:20,"1,481,342,188","1,488,851,563",286,152,trip,,
·2.47174E+18,17/06/202114:20,17/06/202114:30,"1,488,851,563","1,488,851,563",152,16,charge,,240
·2.47174E+l8,17/06/202114:30,17/06/2021 14:32,"1,488,851,563","14,888,875",16,16,trip,,
-2.47174E+18,17/06/202114:33,17/06/202115:05,"14,888,875","14,888,875",16,49,charge,,DC Charging
·2.47174E+l8,17/06/202115:05,17/06/2021 15:55,"14,888,875","1,491,867,188",49,439,trip,,
-2.47174E+18,17/06/202116:38,17/06/2021 17:33,"1,491,867,188","1,495,023,438",439,388,trip,,
·2.47174E+18,17/06/202117:34,17/06/202117:54,"1,495,023,438","1,495,023,438",388,396,charge,,240
·2.47174E+l8,17/06/202117:54,17/06/2021 18:42,"1,495,023,438","149,824,375",396,341,trip,,
