
"vin","timestamp","end_time","odo","end_odo","soc","end_soc","event","charge_mode"
-2.47174E+18,26/04/202118:40,26/04/202118:58,2096.265625,"2,106,125",709,694,trip,,
-2.47174E+l8,26/04/2021 22:21,26/04/2021 22:32,2106.125,"21,125",694,682,trip,,
-2.47174E+18,26/04/2021 22:46,26/04/2021 22:57,2112.5,"2,118,859,375",678,674,trip,,
-2.47174E+l8,27/04/202102:44,27/04/202102:57,"2118.875","212,915,625",666,635,trip,,
-2.47174£+18,27/04/202121:12,27/04/202121 :27,"2129.15625","2,142,859,375",635,603,trip,,
-2.47174E+18,27/04/202121:29,27/04/2021 21:29,"2142.859375","2,142,859,375",603,603,trip,,
-2.47174E+l8,27/04/202122:10,27/04/2021 22:26,"2142.859375","2,157,046,875",596,56,trip,,
-2.47174E+18,28/04/2021 00:13,28/04/202100:28,"2157.046875","2,170,640,625",556,521,Uip,,
-2.47174E+l8,28/04/2021 00:43,28/04/202100 :52,"2170.640625","21,778,125",517,498,trip,,
-2.47174£+18,28/04/202113:42,28/04/202113:56,"2177.8125","218,828,125",478,45,trip,,
-2.47174E+18,28/04/202118:21,28/04/202118:38,"2188.28125","2,201,890,625",443,423,trip,,
-2.47174E+l8,29/04/2021 00:30,29/04/2021 00:46,"2201.890625","22,160,625",419,388,trip,,
-2.47174E+18,29/04/2021 09:28,29/04/202109:49,"2216.0625","2,231,390,625",38,337,trip,,
-2.47174E+18,29/04/2021 09:53,29/04/202110:44,"2231.390625","228,671,875",337,243,trip,,
-2.47174£•18,29/04/202110;46,29/04/202111 ;17,"228,671,875","2,286,734,375",243,592,charge,,DCCharging
-2.47174E+18,29/04/2021 11:17,29/04/202111:43,"2,286,734,375","2,307,015,625",592,556,trip,,
-2.47174E+18,29/04/202114:07,29/04/202114:33,"2,307,015,625","2,318,296,875",517,498,trip,,
-2.47174E+18,29/04/202115:20,29/04/202115:29,"2,318,296,875","2,322,265,625",498,498,Uip,,
-2.47174E+18,29/04/202117:05,29/04/202118:53,"2,322,265,625","2,411,515,625",49,266,trip,,
-2.47174£+18,29/04/202118:53,29/04/202119:05,"2,411,515,625","24,198,125",266,258,trip,,
-2.47174E+18,29/04/202119:05,29/04/202119:16,"24,198,125","241,984,375",258,254,trip,,
-2.47174E+18,29/04/202119:16,29/04/2021 23:10,"241,984,375","2,498,796,875",254,121,trip,,
-2.47174E+18,29/04/2021 23:11,29/04/2021 23:19,"2,498,796,875","250,271,875",121,113,trip,,
-2.47174E+18,29/04/2021 23:34,29/04/2021 23:34,"250,271,875","250,275",109,109,trip,,
-2.47174£+18,29/04/2021 23:35,30/04/202100:40,"250,275","250,275",109,20,charge,,240
-2.47174E+18,30/04/2021 00:40,30/04/2021 00:48,"250,275","2,507,140,625",20,188,trip,,
-2.47174E+18,30/04/202118:52,30/04/2021 19:11,"2,507,140,625","252,084,375",203,184,trip,,
-2.47174E+18,30/04/202119:11,30/04/2021 21:54,"252,084,375","252,084,375",184,349,charge,,240
-2.47174E+18,30/04/202 121:54,30/04/2021 21:57,"252,084,375","252,103,125",349,349,trip,,
-2.47174£+18,01/05/2021 00:47,01/05/202101:04,"252,103,125","253,515,625",352,321,trip,,
-2.47174E+18,01/05/2021 15:24,01/05/202115:55,"253,515,625","2,541,265,625",305,298,trip,,
-2.47174E+18,01/05/202 115:55,01/05/2021 16:07,"2,541,265,625","25,471,875",298,286,trip,,
