vin,tim•stamp,end_tim•,odo,end_odo,soc,end_soc,event,,charce_mode
·2.47174E+18,23/06/202115:14,23/06/202115:46,"1,733,173,438","1,733,173,438",,647,charge,,
·2.47174E+l8,23/06/202115:46,23/06/202117:13,"1,733,173,438","1,741,217,188",647,411,trip,,
·2.47174E+18,23/06/202117:29,23/06/2021 22:06,"1,741,217,188","1,757,485,938",411,18,trip,,
·2.47174E+18,23/06/2021 22:07,23/06/2021 22 :38,"1,757,485,938","1,757,485,938",18,474,charge,,DC Charging
·2.47174E+18,23/06/2021 22:38,23/06/2021 22 :57,"1,757,485,938","1,757,517,188",474,474,trip,,
·2.47174E+18,23/06/202123:17,23/06/2021 23:48,"1,757,517,188","1,759,576,563",466,435,trip,,
·2.47174E+18,23/06/2021 23:49,24/06/202110:03,"1,759,576,563","1,759,576,563",435,56,charge,,
·2.47174E+18,24/06/202110:03,24/06/202112:37,"1,759,576,563","17,707,375",56,368,ttip,,
·2.47174E+18,24/06/202112:38,24/06/202113:09,"17,707,375","17,707,375",368,682,charge,,
·2.47174E+18,24/06/202113:09,24/06/202114:00,"17,707,375","1,774,103,125",682,627,trip,,
·2.47174E+18,24/06/2021 14:04,24/06/202117:28,"1,774,103,125","178,695",619,392,trip,,
·2.47174E+l8,24/06/202117:29,24/06/202118:00,"178,695","178,695",392,69,charge,,DC Charging
·2.47174E+18,24/06/202118:00,24/06/202118:04,"178,695","17,870,875",69,69,tfip,,
·2.47174E+l8,24/06/202118:05,24/06/202118:15,"17,870,875","17,870,875",69,698,charge,,240
·2.47174E+18,24/06/202118:15,24/06/2021 21:11,"17,870,875","1,795,889,063",698,545,trip,,
·2.47174E+18,24/06/202121:13,24/06/2021 21:20,"1,795,889,063","1,796,115,625",545,533,trip,,
·2.47174E+18,24/06/2021 22:00,24/06/2021 22:50,"1,796,115,625","1,798,601,563",533,49,trip,,
·2.47174E+18,24/06/2021 22:50,24/06/2021 22:53,"1,798,601,563","1,798,601,563",49,,charge,,240
·2.47174E+18,24/06/2021 22:53,24/06/2021 23:47,"1,798,601,563","1,802,489,063",,415,trip,,
·2.47174E+18,24/06/2021 23:54,24/06/2021 23:56,"1,802,489,063","1,802,542,188",411,411,trip,,
·2.47174E+18,24/06/2021 23:56,25/06/202110:01,"1,802,542,188","1,802,542,188",411,537,charge,,120
·2.47174E+18,25/06/202110:01,25/06/202112:42,"1,802,542,188","181,338,125",537,341,trip,,
·2.47174E+18,25/06/202112:42,25/06/202118:02,"181,338,125","181,338,125",341,403,charge,,120
·2.47174E+18,25/06/202118:02,25/06/2021 21:02,"181,338,125","182,255",403,235,trip,,
·2.47174E+18,25/06/2021 21:11,25/06/2021 21:12,"182,255","1,822,564,063",235,235,trip,,
·2.47174E+18,25/06/202121:12,25/06/202121:14,"1,822,564,063","1,822,582,813",235,235,trip,,
·2.47174E+18,25/06/2021 21:15,25/06/2021 21:47,"1,822,582,813","1,822,582,813",235,521,charge,,DC Charging
·2.47174E+18,25/06/2021 21:47,26/06/202100:17,"1,822,582,813","183,353,125",521,305,ttip,,
·2.47174E+18,26/06/202100:19,26/06/2021 00:50,"183,353,125","183,353,125",305,619,charge,,DC Charging
·2.47174E+18,26/06/2021 00:50,26/06/202101:19,"183,353,125","1,835,176,563",619,588,trip,,
·2.47174E+18,26/06/2021 01:24,26/06/202101:30,"1,835,176,563","1,835,435,938",588,58,trip,,
·2.47174E+18,26/06/2021 01:30,26/06/202112:03,"1,835,435,938","1,835,435,938",58,701,charge,,120
