vin,tim•stamp,end_tim•,odo,end_odo,soc,end_soc,event,,chare•_mode
·2.47174E+18,26/06/202112:03,26/06/202113:36,"1,835,435,938","18,468,375",701,466,trip,,
·2.47174E+l8,26/06/202113:40,26/06/202113:46,"18,468,375","1,847,090,625",458,458,trip,,
·2.47174E+18,26/06/202113:50,26/06/202114:50,"1,847,090,625","1,852,203,125",458,341,trip,,
·2.47174E+18,26/06/202114:58,26/06/202115:03,"1,852,203,125","1,852,334,375",341,341,trip,,
·2.47174£+18,26/06/202115:15,26/06/202116:10,"1,852,334,375","1,859,859,375",333,172,trip,,
·2.47174£+18,26/06/202116:12,26/06/202116:43,"1,859,859,375","1,859,859,375",172,427,charge,,
·2.47174E+18,26/06/202116:43,26/06/202117:45,"1,859,859,375","1,864,376,563",427,317,trip,,
-2.47174E+18,26/06/202118:14,26/06/202118:43,"1,864,376,563","1,865,725",313,286,trip,,
·2.47174£+18,26/06/202119:10,26/06/202119:27,"1,865,725","1,866,509,375",286,262,trip,,
·2.47174£+18,26/06/2021 20:08,26/06/2021 20:22,"1,866,509,375","1,867,034,375",258,243,trip,,
·2.47174E+18,26/06/2021 20:23,05/07/202110:03,"1,867,034,375","1,867,034,375",243,100,charge,,120
·2.47174E+18,05/07/202110:03,05/07/2021 12:10,"1,867,034,375","18,767,375",100,803,trip,,
-2.47174E+18,05/07/202112:12,05/07/202112:23,"18,767,375","1,877,471,875",803,788,trip,,
·2.47174£+18,05/07/202118:17,05/07/2021 19:34,"1,877,471,875","188,259,375",78,678,trip,,
·2.47174£+18,05/07/202119:46,05/07/2021 20:33,18825 9375,"188,588,125",674,607,trip,,
·2.47174E+18,05/07/202120:34,06/07/202110:01,"188,588,125","188,588,125",607,764,charge,,120
·2.47174E+18,06/07/202110:01,06/07/2021 12:26,"188,588,125","189,708,125",764,572,trip,,
-2.47174E+18,06/07/202112:27,06/07/202112:33,18970..8125,"1,897,339,063",572,568,trip,,
·2.47174£+18,06/07/202112:33,06/07/2021 14:00,"1,897,339,063","1,897,339,063",568,,charge,,120
·2.47174£+18,06/07/202114:00,06/07/202118:44,"1,897,339,063","1,911,573,438",,305,trip,,
·2.47174E+18,06/07/202118:45,06/07/2021 21:38,"1,911,573,438","192,114,375",305,117,trip,,
·2.47174E+18,06/07/202121:40,06/07/2021 22:11,"192,114,375","192,114,375",117,411,charge,,
·2.47174E+18,06/07/202122:11,07/07/202100:24,"192,114,375","1,931,095,313",411,227,ttip,,
·2.47174£+18,07/07/202100:25,07/07/2021 00:55,"1,931,095,313","1,931,095,313",227,533,charge,,DC Charging
·2.47174£+18,07/07/202100:55,07/07/202101 :20,"1,931,095,313","1,933,123,438",533,494,trip,,
·2.47174E+18,07/07/202101:20,07/07/202112 :47,"1,933,123,438","1,933,123,438",494,635,charge,,120
·2.47174£+18,07/07/202112:47,07/07/202113:03,"1,933,123,438","193,393,125",635,619,trip,,
·2.47174E+18,07/07/202113:13,07/07/202113:15,"193,393,125","1,933,935,938",619,619,trip,,
·2.47174£+18,07/07/202114:00,07/07/2021 14:19,"1,933,935,938","19,347,625",619,603,trip,,
·2.47174£+18,07/07/202114:20,07/07/202114:54,"19,347,625","19,347,625",603,,charge,,
·2.47174£+18,07/07/202114:54,07/07/202116:21,"19,347,625","1,939,376,563",,517,trip,,
·2.47174£+18,07/07/202116:25,07/07/2021 16:31,"1,939,376,563","1,939,525",513,513,trip,,
