-,,,,,,,,,
vin,timestamp,end_tim•,odo,end_odo,soc,end_soc,event,,charce_mode
·2.47174E+18,12/07/202113:15,12/07/202113:32,"2,122,232,813","2,123,409,375",564,537,trip,,
·2.47174E+l8,12/07/202 113:33,12/07/202113:37,"2,123,409,375","2,123,409,375",537,537,charge,,120
·2.47174E+18,12/07/202113:37,12/07/202114:36,"2,123,409,375","2,130,354,688",537,403,trip,,
·2.47174E+18,12/07/202114:43,12/07/2021 14:46,"2,130,354,688","2,130,390,625",403,403,trip,,
·2.47174E+18,12/07/202114:57,12/07/202115:51,"2,130,390,625","2,137,803,125",40,247,trip,,
·2.47174E+18,12/07/202115:52,12/07/202116:22,"2,137,803,125","2,137,803,125",247,329,charge,,DC Charging
·2.47174E+18,12/07/202116:22,12/07/2021 16:56,"2,137,803,125","2,140,953,125",329,27,trip,,
·2.47174E+18,12/07/202117:00,12/07/202117:16,"2,140,953,125","2,141,939,063",266,254,tfip,,
·2.47174E+18,12/07/202117:16,12/07/2021 17:29,"2,141,939,063","2,141,939,063",254,254,charge,,120
·2.47174E+18,12/07/202117:29,12/07/202118:28,"2,141,939,063","2,145,126,563",254,192,trip,,
·2.47174E+18,12/07/202118:29,12/07/202118:59,"2,145,126,563","2,145,126,563",192,494,charge,,
·2.47174E+18,12/07/202118:59,12/07/2021 20:55,"2,145,126,563","2,151,496,875",494,36,trip,,
·2.47174E+18,12/07/202121:02,12/07/2021 21:23,"2,151,496,875","215,231,875",36,345,trip,,
·2.47174E+18,12/07/202121:23,12/07/202121:29,"215,231,875","215,231,875",345,345,charge,,120
·2.47174E+18,12/07/202121:29,12/07/2021 21:44,"215,231,875","2,153,251,563",345,333,trip,,
·2.47174E+18,12/07/202121:44,12/07/2021 23:46,"2,153,251,563","2,153,251,563",333,498,charge,,240
·2.47174E+18,12/07/202123:46,13/07/202100:02,"2,153,251,563","2,154,139,063",498,486,trip,,
·2.47174E+18,13/07/202100:03,13/07/202100:08,"2,154,139,063","2,154,139,063",486,478,charge,,120
·2.47174E+18,13/07/202100:08,13/07/202100:21,"2,154,139,063","2,155,070,313",478,474,trip,,
·2.47174E+18,13/07/202101:00,13/07/202101:13,"2,155,070,313","21,558,875",466,454,trip,,
·2.47174E+18,13/07/2021 01:13,13/07/202108:33,"21,558,875","21,558,875",454,545,charge,,120
·2.47174E+18,13/07/202108:33,13/07/202109:32,"21,558,875","2,161,657,813",545,439,trip,,
·2.47174E+18,13/07/202109:32,13/07/202109:41,"2,161,657,813","2,161,657,813",439,447,charge,,240
·2.47174E+18,13/07/202109:41,13/07/202111:55,"2,161,657,813","2,171,785,938",447,25,trip,,
·2.47174E+18,13/07/202111:56,13/07/202112 :26,"2,171,785,938","2,171,785,938",25,572,charge,,DC Charging
·2.47174E+18,13/07/202112:26,13/07/202112 :52,"2,171,785,938","2,173,815,625",572,537,trip,,
·2.47174E+18,13/07/202112:52,13/07/202113:04,"2,173,815,625","2,173,815,625",537,537,charge,,120
·2.47174E+18,13/07/202113:04,13/07/202114:42,"2,173,815,625","2,183,240,625",537,294,trip,,
·2.47174E+18,13/07/202114:54,13/07/202116:25,"2,183,240,625","2,192,228,125",29,192,trip,,
·2.47174E+18,13/07/202116:25,13/07/202116:43,"2,192,228,125","2,192,228,125",192,192,charge,,120
·2.47174E+18,13/07/202116:43,13/07/202117:13,"2,192,228,125","2,193,815,625",192,168,trip,,
·2.47174E+18,13/07/202117:13,13/07/202118:56,"2,193,815,625","2,193,815,625",168,188,charge,,120
