vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,,charce_mode
·2.47174E+18,17/07/202116:46,17/07/202119:26,"2,306,385,938","2,315,879,688",541,352,trip,,
·2.47174E+l8,17/07/202119:29,17/07/202120:01,"2,315,879,688","2,315,879,688",,647,charge,,
-2.47174E+18,17/07/202120:01,17/07/202122:36,"2,315,879,688","232,423,125",647,478,trip,,
·2.47174E+l8,17/07/202123:05,17/07/2021 23:55,"232,423,125","232,723,125",474,419,trip,,
·2.47174E+18,17/07/2021 23:55,18/07/202101:05,"232,723,125","2,327,264,063",419,392,trip,,
·2.47174E+18,18/07/202101:05,18/07/202112 :28,"2,327,264,063","2,327,264,063",392,521,charge,,120
·2.47174E+l8,18/07/202112:28,18/07/202113:10,"2,327,264,063","2,330,623,438",521,47,trip,,
·2.47174E+18,18/07/202113:15,18/07/202113:50,"2,330,623,438","23,339,375",47,407,Uip,,
·2.47174E+18,18/07/202113:51,18/07/202114:05,"23,339,375","23,339,375",407,407,charge,,120
·2.47174E+18,18/07/202114:05,18/07/202117:16,"23,339,375","2,349,128,125",407,133,trip,,
·2.47174E+18,18/07/202117:17,18/07/202117:47,"2,349,128,125","2,349,128,125",133,447,charge,,DC Charging
·2.47174E+18,18/07/202117:47,18/07/202119:45,"2,349,128,125","235,508,125",447,329,trip,,
-2.47174E+18,18/07/202119:46,18/07/2021 20:18,"235,508,125","235,508,125",329,623,charge,,DC Charging
·2.47174E+18,18/07/202120:18,18/07/2021 21:58,"235,508,125","2,362,189,063",623,474,trip,,
·2.47174E+18,18/07/2021 22:00,18/07/202122 :30,"2,362,189,063","2,362,189,063",474,76,charge,,DC Charging
·2.47174E+18,18/07/202122:30,18/07/2021 23:04,"2,362,189,063","2,364,695,313",76,717,trip,,
·2.47174E+18,18/07/2021 23:06,19/07/202114:15,"2,364,695,313","2,364,695,313",717,898,charge,,
·2.47174E+18,19/07/202114:15,19/07/202117:41,"2,364,695,313","2,375,932,813",898,682,Uip,,
·2.47174E+18,19/07/202117:43,19/07/202118:55,"2,375,932,813","2,375,932,813",682,69,charge,,
·2.47174E+18,19/07/202118:55,19/07/202121 :14,"2,375,932,813","2,382,864,063",69,529,trip,,
·2.47174E+18,19/07/202121:14,19/07/2021 21:25,"2,382,864,063","2,382,864,063",529,529,charge,,120
·2.47174E+18,19/07/202121:25,19/07/2021 23:54,"2,382,864,063","2,391,520,313",529,36,trip,,
-2.47174E+18,19/07/202123:56,20/07/202100:26,"2,391,520,313","2,391,520,313",36,666,charge,,DC Charging
·2.47174E+18,20/07/202100:26,20/07/202104:16,"2,391,520,313","24,094,375",666,313,trip,,
-2.47174E+18,20/07/202104:16,20/07/202115:04,"24,094,375","24,094,375",313,,charge,,
·2.47174E+18,20/07/202115:04,20/07/202115:12,"24,094,375","2,409,692,188",,447,trip,,
·2.47174E+18,20/07/202115:14,20/07/202115:16,"2,409,692,188","2,409,729,688",447,447,trip,,
-2.47174E+18,20/07/202115:20,20/07/202117:52,"2,409,729,688","2,420,498,438",443,243,Uip,,
·2.47174E+18,20/07/202117:53,20/07/202118:24,"2,420,498,438","2,420,498,438",243,556,charge,,DC Charging
-2.47174E+18,20/07/202118:24,20/07/202123:47,"2,420,498,438","2,441,057,813",556,164,trip,,
·2.47174E+18,20/07/202123:48,21/07/202100:37,"2,441,057,813","2,443,439,063",164,121,trip,,
·2.47174E+18,21/07/202100:38,21/07/202110:58,"2,443,439,063","2,443,439,063",121,247,charge,,120
