vin, timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
·2.47174E+l8,15/05/202 103:09,15/05/2021 17:21,"458,578,125","458,578,125",27.4,44.7,charge,120
·2.47174E+l8,15/05/202117:21,15/05/2021 17:41,"458,578,125","459,521,875",44.7,43.5,trip,
-2.47174E+l8,15/05/2021 17:42,15/05/202118:29,"459,521,875","459,521,875",43.5,79.6,charge,DCCharging
·2.47174E+18,15/05/202 118:29,15/05/2021 18:53,"459,521,875",4609,79.6,77.6,trip,
·2.47174E+18,15/05/202118:56,15/05/2021 19:22,4609,"462,434,375",77.6,74.9,trip,
·2.47174E+l8,15/05/202 119:24,16/05/2021 00:11,"462,434,375","4,792,734,375",74.9,41.9,trip,
·2.47174E+18,16/05/202100:17,16/05/202100:29,"4,792,734,375","4,802,703,125",41.9,40.3,trip,
-2.47174E+18,16/05/2021 00:30,16/05/202100:34,"4,802,703,125","4,802,703,125",40.3,40.7,charge,240
·2.47174E+18,16/05/202 100:34,16/05/202102 :58,"4,802,703,125","4,906,609,375",40.7,21.1,trip,
·2.47174E+18,16/05/202102:59,16/05/2021 15:42,"4,906,609,375","4,906,609,375",21.1,36.8,charge,120
·2.47174E+l8,16/05/202 115:42,16/05/2021 15:59,"4,906,609,375","4,916,046,875",36.8,35.6,trip,
·2.47174E+18,16/05/202116:00,16/05/2021 17:00,"4,916,046,875","4,916,046,875",35.6,85.0,charge,DCCharging
-2.47174E+18,16/05/202117:00,16/05/202117:10,"4,916,046,875","492,290,625",85.0,83.9,trip,
·2.47174E+18,16/05/202 117:53,16/05/2021 18:10,"492,290,625",4930.92 1875,83.5,81.9,trip,
·2.47174E+18,16/05/202118:40,16/05/2021 19:33,"4,930,921,875","4,967,875",81.5,75.6,trip,
·2.47174E+l8,16/05/202 119:34,16/05/2021 21:46,"4,967,875","507,309,375",75.6,53.7,trip,
·2.47174E+18,16/05/202121:47,16/05/2021 23:47,"507,309,375","507,309,375",53.7,55.6,charge,120
-2.47174E+18,16/05/2021 23:47,17/05/202102:15,"507,309,375","51,563,125",55.6,40.7,trip,
·2.47174E+18,17/05/202 102:16,17/05/2021 12 :48,"51,563,125","51,563,125",40.7,53.3,charge,120
·2.47174E+18,17/05/202 112:48,17/05/2021 13:04,"51,563,125","5,161,515,625",53.3,52.5,trip,
·2.47174E+l8,17/05/202 113:07,17/05/202113:07,"5,161,515,625","516,153,125",52.1,52.1,trip,
·2.47174E+18,17/05/202 113:54,17/05/2021 14:19,"516,153,125","517,165,625",52.1,50.9,trip,
-2.47174E+18,17/05/202114:20,17/05/202116:10,"517,165,625","517,165,625",50.9,52.9,charge,120
·2.47174E+18,17/05/202 116:10,17/05/2021 19:51,"517,165,625","5,301,796,875",52.9,29.4,trip,
·2.47174E+18,17/05/202 119:55,17/05/2021 20:34,"5,301,796,875","5,318,875",29.4,27.0,trip,
·2.47174E+18,17/05/202 120:36,17/05/2021 20:46,"5,318,875","5,320,609,375",27.0,27.0,trip,
·2.47174E+l8,17/05/202120:47,17/05/202121:47,"5,320,609,375","5,320,609,375",27.0,35.2,charge,240
-2.47174E+18,17/05/202121:47,17/05/202122:02,"5,320,609,375","5,328,546,875",35.2,33.7,trip,
·2.47174E+l8,17/05/202 122:02,17/05/2021 22 :17,"5,328,546,875","5,335,984,375",33.7,32.5,trip,
·2.47174E+18,17/05/202122:18,18/05/202100:07,"5,335,984,375","5,335,984,375",32.5,34.5,charge,120
·2.47174E+l8,18/05/202 100:07,18/05/2021 00:35,"5,335,984,375","53,520,625",34.5,32.1,trip,
·2.47174E+l8,18/05/202 100:36,18/05/202101:37,"53,520,625","53,520,625",32.1,82.7,charge,DCCharging
