vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
·2.47174£+18,20/05/2021 20:22,20/05/2021 20:31,"6,411,953,125","6,415,640,625",69.0,68.6,trip,
-2.47174£+18, 20/05/2021 20:46, 20/05/2021 20:58, 6415.640625,6422.5625 ,67.8, 67.0, trip,
-2.47174£+18,20/05/2021 20:59,20/05/2021 23:20,"64,225,625","64,225,625",67.0,69.4,charge,120
-2.47174£+18,20/05/2021 23:20,21/05/202100:36,"64,225,625","648,946,875",69.4,55.6,trip,
-2.47174£+18,21/05/2021 00:36,21/05/202110:03,"648,946,875","648,946,875",55.6,66.6,charge,120
·2.47174£+18,21/05/202110:03,21/05/202111:54,"648,946,875","6,575,015,625",66.6,49.0,trip,
-2.47174£+18,21/05/202111:55,21/05/202112:43,"6,575,015,625","6,575,015,625",49.0,80.0,charge,DCCharging
-2.47174£+18,21/05/202112:43,21/05/202114:44,"6,575,015,625","6,681,359,375",80.0,59.2,trip,
-2.47174£+18,21/05/202114:54,21/05/202117:52,"6,681,359,375","677,409,375",59.2,40.3,trip,
-2.47174£+18,21/05/202117:53,21/05/202118:39,"677,409,375","677,409,375",40.3,41.1,charge,120
·2.47174£+18,21/05/202118:39,21/05/202119:07,"677,409,375","6,790,234,375",41.1,38.8,trip,
-2.47174£+18,21/05/202119:12,21/05/202119:33,"6,790,234,375","68,015,625",38.4,36.4,trip,
-2.47174£+18,21/05/202119:33,21/05/202119:33,"68,015,625","68,015,625",36.4,36.4,trip,
-2.47174£+18,21/05/202119:33,21/05/2021 21:39,"68,015,625","68,015,625",36.4,38.4,charge,120
-2.47174£+18,21/05/2021 21:39,21/05/2021 22:15,"68,015,625","681,640,625",38.4,36.0,trip,
·2.47174£+18,21/05/202122:17,21/05/2021 22 :35,"681,640,625","681,640,625",36.0,36.0,charge,
-2.47174£+18,21/05/2021 22:35,21/05/2021 23:31,"681,640,625","6,844,453,125",36.0,31.7,trip,
-2.47174£+18,21/05/2021 23:32,22/05/202100:25,"6,844,453,125","6,844,453,125",31.7,76.4,charge,DCCharging
-2.47174£+18,22/05/2021 00:25,22/05/202100 :30,"6,844,453,125","6,846,171,875",76.4,76.4,trip,
-2.47174£+18,22/05/2021 00:32,22/05/202101:00,"6,846,171,875","6,857,265,625",76.4,73.7,trip,
·2.47174£+18,22/05/2021 01:01,22/05/202110:02,"6,857,265,625","6,857,265,625",73.7,84.3,charge,120
-2.47174£+18,22/05/202110:02,22/05/202111:26,"6,857,265,625","6,903,546,875",84.3,75.6,trip,
-2.47174£+18,22/05/202111:27,22/05/202111:38,"6,903,546,875","6,903,546,875",75.6,75.6,charge,120
-2.47174£+18,22/05/202111:38,22/05/202112 :37,"6,903,546,875",6941,75.6,68.2,trip,
-2.47174£+18,22/05/202112:39,22/05/202112 :51,6941,"6,950,859,375",68.2,65.4,trip,
·2.47174£+18,22/05/202112:52,22/05/202113:45,"6,950,859,375","6,950,859,375",65.4,65.8,charge,120
-2.47174£+18,22/05/202113:45,22/05/202114:28,"6,950,859,375","697,471,875",65.8,61.9,trip,
-2.47174£+18,22/05/202114:30,22/05/202114:34,"697,471,875","69,765",61.9,61.9,trip,
-2.47174£+18,22/05/202114:34,22/05/202114:53,"69,765","69,765",61.9,64.3,charge,240
-2.47174£+18,22/05/202114:53,22/05/202115:26,"69,765","698,834,375",64.3,61.9,trip,
·2.47174£+18,22/05/202115:27,22/05/202116:03,"698,834,375","698,834,375",61.9,62.7,charge,120
-2.47174£+18,22/05/202116:03,22/05/202118:29,"698,834,375","709,646,875",62.7,42.7,trip,
