vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
-8.99632E+18,14/04/2021 14:13,14/04/2021 15:16,18863.46875,18948.75,95.6,77.6,trip,
-8.99632E+18,14/04/2021 15:39,14/04/2021 15:46,18948.75,18951.375,77.2,76.8,trip,
-8.99632E+18,14/04/2021 15:51,14/04/2021 15:52,18951.375,18951.5625,76.4,76.4,trip,
-8.99632E+18,14/04/2021 15:52,14/04/2021 17:30,18951.5625,18957.04688,76.4,74.1,trip,
-8.99632E+18,14/04/2021 17:30,14/04/2021 17:39,18957.04688,18958.60938,74.1,74.1,trip,
-8.99632E+18,14/04/2021 17:39,14/04/2021 20:42,18958.60938,18964.10938,74.1,72.9,trip,
-8.99632E+18,14/04/2021 20:42,14/04/2021 21:48,18964.10938,19013.8125,72.9,62.3,trip,
-8.99632E+18,14/04/2021 22:11,14/04/2021 22:34,19013.8125,19034.26563,61.9,56,trip,
-8.99632E+18,15/04/2021 09:10,15/04/2021 09:13,19034.26563,19035.78125,54.5,54.1,trip,
-8.99632E+18,15/04/2021 09:17,15/04/2021 09:29,19035.78125,19054.82813,53.7,45.8,trip,
-8.99632E+18,15/04/2021 10:43,15/04/2021 12:18,19054.82813,19150.54688,45.8,26.2,trip,
-8.99632E+18,15/04/2021 13:21,15/04/2021 13:39,19150.54688,19158.32813,25.8,25,trip,
-8.99632E+18,15/04/2021 13:46,15/04/2021 13:52,19158.32813,19160.51563,24.7,24.3,trip,
-8.99632E+18,15/04/2021 13:53,15/04/2021 13:53,19160.51563,19160.51563,24.3,24.3,trip,
-8.99632E+18,15/04/2021 13:54,15/04/2021 14:14,19160.51563,19160.51563,24.3,53.3,charge,DCCharging
-8.99632E+18,15/04/2021 14:14,15/04/2021 14:23,19160.51563,19162.59375,53.3,53.3,trip,
-8.99632E+18,15/04/2021 14:25,15/04/2021 17:10,19162.59375,19162.60938,53.3,78.4,charge,240
-8.99632E+18,15/04/2021 17:10,15/04/2021 17:28,19162.60938,19168.89063,78.4,75.2,trip,
-8.99632E+18,15/04/2021 18:56,15/04/2021 19:18,19168.89063,19175.76563,72.1,70.9,trip,
-8.99632E+18,15/04/2021 19:21,15/04/2021 21:20,19175.76563,19175.76563,70.1,90.1,charge,240
-8.99632E+18,15/04/2021 21:20,15/04/2021 22:59,19175.76563,19242.625,90.1,74.9,trip,
-8.99632E+18,15/04/2021 22:59,15/04/2021 23:06,19242.625,19245.01563,74.9,74.5,trip,
-8.99632E+18,16/04/2021 10:56,16/04/2021 10:57,19245.01563,19245.40625,73.7,73.7,trip,
-8.99632E+18,16/04/2021 10:57,16/04/2021 11:02,19245.40625,19245.59375,73.7,73.7,trip,
-8.99632E+18,16/04/2021 11:02,16/04/2021 11:03,19245.59375,19245.96875,73.7,73.7,trip,
-8.99632E+18,16/04/2021 11:20,16/04/2021 11:21,19245.96875,19246.21875,73.3,73.3,trip,
-8.99632E+18,16/04/2021 12:59,16/04/2021 13:15,19246.21875,19266.64063,73.3,68.2,trip,
-8.99632E+18,16/04/2021 13:21,16/04/2021 13:22,19266.64063,19266.78125,68.2,68.2,trip,
-8.99632E+18,16/04/2021 14:45,16/04/2021 15:08,19266.78125,19288.10938,68.2,63.1,trip,
-8.99632E+18,16/04/2021 15:08,16/04/2021 16:16,19288.10938,19288.15625,63.1,62.3,trip,
-8.99632E+18,16/04/2021 16:16,16/04/2021 17:27,19288.15625,19350.93197,62.3,46.6,trip,
-8.99632E+18,16/04/2021 17:27,16/04/2021 17:51,19350.93197,19350.93197,46.6,69.4,charge,DCCharging
