vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
·2.47174£+18,25/05/202119:28,25/05/202119:59,"7,813,546,875","7,824,890,625",823,803,trip,
·2.47174£+18,25/05/202119:59,25/05/202122:47,"7,824,890,625","7,824,890,625",803,835,charge,120
·2.47174£+18,25/05/202122:47,25/05/202123:40,"7,824,890,625","786,678,125",835,768,trip,
·2.47174£+18,25/05/202123:43,26/05/202100:20,"786,678,125","790,053,125",768,686,trip,
-2.47174£+18,26/05/202100:22,26/05/202100:36,"790,053,125","7,908,578,125",686,67,trip,
·2.47174£+18,26/05/202100:37,26/05/202110:08,"7,908,578,125","7,908,578,125",67,784,charge,120
·2.47174£+18,26/05/202110:08,26/05/202114:10,"7,908,578,125","809,084,375",784,443,trip,
·2.47174£+18,26/05/202114:11,26/05/202114:25,"809,084,375","809,084,375",443,443,charge,120
·2.47174£+18,26/05/202114:25,26/05/202117:48,"809,084,375","82,215,625",443,223,trip,
·2.47174£+18,26/05/202117:49,26/05/202118:26,"82,215,625","82,215,625",223,27,charge,240
·2.47174£+18,26/05/202118:26,26/05/202119:19,"82,215,625","8,263,234,375",27,196,trip,
·2.47174£+18,26/05/202119:25,26/05/202119:38,"8,263,234,375","8,271,859,375",192,18,trip,
·2.47174£+18,26/05/202119:39,26/05/202122:54,"8,271,859,375","8,271,859,375",18,215,charge,120
·2.47174£+18,26/05/202122:54,26/05/202123:17,"8,271,859,375","82,845",215,20,trip,
·2.47174£+18,26/05/202123:19,26/05/202123:26,"82,845","8,285,859,375",20,20,trip,
·2.47174£+18,26/05/202123:26,27/05/202100:40,"8,285,859,375","8,285,859,375",20,305,charge,240
·2.47174£+18,27/05/202100:40,27/05/202101:19,"8,285,859,375","8,311,765,625",305,258,trip,
·2.47174£+18,27/05/202101:20,27/05/202108:27,"8,311,765,625","8,311,765,625",258,345,charge,120
·2.47174£+18,27/05/202108:27,27/05/202109:00,"8,311,765,625","833,709,375",345,305,trip,
·2.47174£+18,27/05/202109:01,27/05/202110:01,"833,709,375","833,709,375",305,811,charge,DCCharging
·2.47174£+18,27/05/202110:01,27/05/202111:54,"833,709,375","8,396,609,375",811,682,trip,
·2.47174£+18,27/05/202111:55,27/05/202114:01,"8,396,609,375","8,396,609,375",682,705,charge,
·2.47174£+18,27/05/202114:01,27/05/202115:43,"8,396,609,375","84,590,625",705,58,trip,
·2.47174£+18,27/05/202115:49,27/05/202120:08,"84,590,625","859,996,875",576,305,trip,
·2.47174£+18,27/05/202120:08,27/05/202120:37,"859,996,875","859,996,875",305,309,charge,120
·2.47174£+18,27/05/202120:37,27/05/202120:55,"859,996,875","860,940,625",309,294,trip,
·2.47174£+18,27/05/202120:56,27/05/202121:57,"860,940,625","860,940,625",294,807,charge,DCCharging
·2.47174£+18,27/05/202121:57,27/05/202123:02,"860,940,625","8,664,640,625",807,698,trip,
·2.47174£+18,27/05/202123:03,27/05/202123:03,"8,664,640,625","8,664,640,625",698,698,charge,
·2.47174£+18,27/05/202123:03,27/05/202123:50,"8,664,640,625","8,697,453,125",698,639,trip,
·2.47174£+18,27/05/202123:52,28/05/202109:48,"8,697,453,125","8,697,453,125",639,749,charge,120
·2.47174£+18,28/05/202109:48,28/05/202112:29,"8,697,453,125","8,782,421,875",749,584,trip,
