"c
vin",timestamp,end_tim•,odo,end_odo,soc,end_soc,event,,charce_mode
·2.47174£+18,13/06/2021 20:07,13/06/2021 20:38,"1,363,348,438","1,363,348,438",423,705,charge,,DC Charging
-2.47174£+18,13/06/2021 20:38,13/06/2021 23:40,"1,363,348,438","137,918,125",705,352,trip,,
-2.47174£+18,13/06/2021 23:40,14/06/202101:26,"137,918,125","137,918,125",352,372,charge,,120
-2.47174£+18,14/06/2021 01:26,14/06/202101:40,"137,918,125","1,380,059,375",372,36,trip,,
-2.47174£• 18,14/06/2021 01:43,14/06/202102 :06,"1,380,059,375","1,380,059,375",36,545,charge,,DC Charging
·2.47174£+18,14/06/2021 02:06,14/06/2021 02 :19,"1,380,059,375","13,808,875",545,521,trip,,
-2.47174£+18,14/06/2021 02:20,14/06/202110:04,"13,808,875","13,808,875",521,619,charge,,120
-2.47174£+18,14/06/202110:04,14/06/202111:58,"13,808,875","139,120,625",619,423,tfip,,
-2.47174£+18,14/06/202111:59,14/06/ 202112 :30,"139,120,625","139,120,625",423,705,charge,,
-2.47174£+18,14/06/202112:30,14/06/202113:33,"139,120,625","1,394,401,563",705,643,trip,,
·2.47174£+18,14/06/202113:33,14/06/202118:35,"1,394,401,563","1,394,401,563",643,701,charge,,120
-2.47174£+18,14/06/202118:35,14/06/202118:54,"1,394,401,563","1,395,314,063",701,69,trip,,
-2.47174£+18,14/06/202119:21,14/06/202119:37,"1,395,314,063","13,962,625",69,674,tfip,,
-2.47174£+18,14/06/202119:37,14/06/ 202119:48,"13,962,625","1,396,769,957",674,67,trip,,
-2.47174£•18,14/06/202119;48,14/00/2021 20;02,"1,396,769,957","1,396,769,957",67,674,charge,,120
·2.47174£+18,14/06/2021 20:02,14/06/2021 21:49,"1,396,769,957","1,401,404,688",674,588,trip,,
-2.47174£+18,14/06/2021 21:50,14/06/2021 22:05,"1,401,404,688","1,401,578,125",588,584,trip,,
-2.47174£+18,14/06/2021 22:05,14/06/2021 22:19,"1,401,578,125","1,402,323,438",584,568,ttip,,
-2.47174£+18,14/06/202122:19,14/06/ 2021 22 :23,"1,402,323,438","1,402,323,438",568,568,charge,,120
-2.47174£+18,14/06/2021 22:23,15/06/202100:44,"1,402,323,438","14,119,625",568,372,trip,,
·2.47174£+18,15/06/2021 00:45,15/06/202110:03,"14,119,625","14,119,625",372,49,charge,,120
-2.47174£+18,15/06/202110:03,15/06/202110:20,"14,119,625","1,412,934,375",49,478,trip,,
-2.47174£+18,15/06/202110:22,15/06/202111:46,"1,412,934,375","1,417,592,188",478,392,ttip,,
-2.47174£+18,15/06/202111:46,15/06/ 202114:34,"1,417,592,188","1,417,592,188",392,423,charge,,120
-2.47174£•18,15/06/202114:34,15/06/202115:13,"1,417,592,188","14,213,375",423,356,trip,,
·2.47174£+18,15/06/202115:17,15/06/202115:50,"14,213,375","1,424,129,688",352,298,trip,,
-2.47174£+18,15/06/202116:02,15/06/202116:31,"1,424,129,688","1,426,207,813",298,27,trip,,
-2.47174£+18,15/06/202116:34,15/06/202117:15,"1,426,207,813","1,429,157,813",27,207,ttip,,
-2.47174£+18,15/06/202117:40,15/06/202117:52,"1,429,157,813","1,429,770,313",207,203,trip,,
-2.47174£•18,15/06/202117:59,15/06/202118:25,"1,429,770,313","1,429,770,313",203,333,charge,,
·2.47174£+18,15/06/202118:25,15/06/202118:42,"1,429,770,313","143,089,375",333,317,trip,,
-2.47174£+18,15/06/202119:12,15/06/202119:52,"143,089,375","1,432,726,563",317,29,trio,,
