vin,timestamp,end_tim•,odo,end_odo,soc,end_soc,event,,charce_mode
·2.47174E+18,17/06/202118:43,17/06/202119:01,"149,824,375","149,824,375",341,341,charge,,120
·2.47174E+l8,17/06/202119:01,17/06/2021 19:26,"149,824,375","1,499,429,688",341,325,trip,,
-2.47174E+18,17/06/202119:27,17/06/202121:17,"1,499,429,688","1,499,429,688",325,486,charge,,240
·2.47174E+l8,17/06/202121:17,17/06/202121:18,"1,499,429,688","1,499,451,563",486,486,trip,,
·2.47174E+18,18/06/2021 03:46,18/06/2021 04:02,"1,499,453,125","1,500,704,688",462,443,trip,,
·2.47174E+18,18/06/2021 04:02,18/06/202110:03,"1,500,704,688","1,500,704,688",443,509,charge,,120
·2.47174E+l8,18/06/202110:03,18/06/2021 12:05,"1,500,704,688","150,978,125",509,345,trip,,
·2.47174E+18,18/06/202112:06,18/06/202112:38,"150,978,125","150,978,125",345,67,charge,,DC Charging
·2.47174E+18,18/06/202112:38,18/06/2021 12 :55,"150,978,125","1,510,495,313",67,662,trip,,
·2.47174E+18,18/06/202113:03,18/06/202113:54,"1,510,495,313","1,514,564,063",658,588,trip,,
·2.47174E+18,18/06/202114:33,18/06/202117:02,"1,514,564,063","1,521,075",588,454,trip,,
·2.47174E+18,18/06/202117:03,18/06/2021 18:35,"1,521,075","1,521,075",454,47,charge,,120
·2.47174E+18,18/06/202118:35,18/06/202119:29,"1,521,075","1,523,851,563",47,423,trip,,
·2.47174E+l8,18/06/2021 22:09,18/06/2021 23:07,"1,523,851,563","1,525,428,125",392,36,trip,,
·2.47174E+18,18/06/2021 23:10,18/06/2021 23:39,"1,525,428,125","1,527,903,125",36,317,trip,,
·2.47174E+18,19/06/2021 00:08,19/06/2021 00:18,"1,527,903,125","152,894,375",313,298,trip,,
·2.47174E+l8,19/06/2021 00:21,19/06/202100:51,"152,894,375","152,894,375",298,643,charge,,DC Charging
-2.47174E+18,19/06/2021 00:51,19/06/202102:32,"152,894,375","1,534,389,063",643,533,ttip,,
·2.47174E+l8,19/06/2021 02:32,19/06/202111:39,"1,534,389,063","1,534,389,063",533,647,charge,,120
·2.47174E+18,19/06/202111:39,19/06/202111:56,"1,534,389,063","1,535,254,688",647,631,trip,,
·2.47174E+18,19/06/202112:05,19/06/202113:46,"1,535,254,688","15,413,875",627,521,trip,,
·2.47174E+l8,19/06/202113:48,19/06/202113:54,"15,413,875","1,541,645,313",521,513,trip,,
·2.47174E+18,19/06/202113:54,19/06/202114:49,"1,541,645,313","1,541,645,313",513,517,charge,,120
·2.47174E+l8,19/06/202114:49,19/06/2021 14:51,"1,541,645,313","1,541,679,688",517,517,trip,,
·2.47174E+18,19/06/202115:34,19/06/2021 15:35,"1,541,679,688","154,173,125",517,517,trip,,
·2.47174E+18,19/06/202115:36,19/06/202117:45,"154,173,125","154,173,125",517,541,charge,,120
·2.47174E+l8,19/06/202117:45,19/06/2021 22:32,"154,173,125","1,558,378,125",541,231,trip,,
-2.47174E+18,19/06/2021 22:36,19/06/2021 23:08,"1,558,378,125","1,558,378,125",231,537,charge,,DC Charging
·2.47174E+l8,19/06/2021 23:08,20/06/2021 03:19,"1,558,378,125","1,580,496,875",537,125,trip,,
·2.47174E+18,20/06/202103:20,20/06/202104:21,"1,580,496,875","1,580,496,875",125,615,charge,,DC Charging
·2.47174E+18,20/06/2021 04:21,20/06/2021 04:36,"1,580,496,875","1,581,398,438",615,596,trip,,
·2.47174E+l8,20/06/2021 04:36,20/06/202112:18,"1,581,398,438","1,581,398,438",596,69,charge,,120
