'        vin,,timestamp,end_time,odo,end_odo,soc,end_soc,event,,charce_mode
·2.47174E+l8,,20/06/202112:18,20/06/2021 14:32,"1,581,398,438","1,594,014,063",69,419,trip,,
-2.47174E+l8,,20/06/2021 14:45,20/06/202117:15,"1,594,014,063","1,606,615,625",415,149,trip,,
-2.47174E+l8,,20/06/202117:16,20/06/202117:47,"1,606,615,625","1,606,615,625",149,443,charge,,
-2.47174E+18,,20/06/202117:47,20/06/202118:31,"1,606,615,625","1,611,010,938",443,349,trip,,
-2.47174E+18,,20/06/202118:32,20/06/202119:32,"1,611,010,938","1,611,010,938",349,843,charge,,DC Charging
-2.47174E+l8,,20/06/2021 19:32,20/06/202119:46,"1,611,010,938","16,119,125",843,819,trip,,
-2.47174E+18,,20/06/202119:47,20/06/2021 20:26,"16,119,125","16,119,125",819,823,charge,,120
-2.47174E+18,,20/06/2021 20:26,20/06/2021 22:56,"16,119,125","1,625,757,813",823,541,ttip,,
',-2.47174E+18,20/06/2021 23:02,20/06/2021 23:06,"1,625,757,813","1,625,940,625",541,541,trip,,
-2.47174E+18,,20/06/202123:17,21/06/202101 :53,"1,625,940,625","1,641,659,375",537,207,trip,,
-2.47174E+l8,,21/06/2021 01:55,21/06/2021 02 :55,"1,641,659,375","1,641,659,375",207,698,charge,,DC Charging
-2.47174E+18,,21/06/2021 02:55,21/06/202103:10,"1,641,659,375","1,642,560,938",698,678,trip,,
-2.47174E+18,,21/06/2021 03:11,21/06/202110:00,"1,642,560,938","1,642,560,938",678,76,charge,,120
-2.47174E+18,,21/06/202110:00,21/06/202114:19,"1,642,560,938","167,180,625",76,168,trip,,
-2.47174E+18,,21/06/202114:21,21/06/202114:52,"167,180,625","167,180,625",168,462,charge,,DC Charging
-2.47174E+l8,,21/06/2021 14:52,21/06/2021 15:44,"167,180,625","1,676,157,813",462,38,trip,,
',-2.47174E+18,21/06/202115:45,21/06/202116:41,"1,676,157,813","1,676,157,813",38,458,charge,,240
-2.47174E+18,,21/06/202116:41,21/06/202118:52,"1,676,157,813",16808,458,345,tfip,,
-2.47174E+18,,21/06/202118:53,21/06/202119:25,16808,16808,345,635,charge,,
-2.47174E+18,,21/06/202119:25,21/06/2021 21:26,16808,"1,686,596,875",635,49,trip,,
-2.47174E+l8,,21/06/2021 21:28,22/06/2021 10:00,"1,686,596,875","1,686,596,875",49,631,charge,,
-2.47174E+18,,22/06/202110:00,22/06/202112:18,"1,686,596,875","1,695,526,563",631,478,trip,,
-2.47174E+18,,22/06/202112:19,22/06/202113:05,"1,695,526,563","16,991,875",478,411,trip,,
-2.47174E+18,,22/06/202113:12,22/06/202113:18,"16,991,875","1,699,403,125",411,411,trip,,
-2.47174E+18,,22/06/202113:19,22/06/202117:59,"1,699,403,125","1,699,403,125",411,458,charge,,120
·2.47174E+l8,,22/06/202117:59,22/06/2021 22 :04,"1,699,403,125","171,345",458,219,trip,,
-2.47174E+18,,22/06/2021 22:05,22/06/2021 22:36,"171,345","171,345",219,529,charge,,DC Charging
-2.47174E+18,,22/06/2021 22:36,22/06/2021 23:07,"171,345","171,525,625",529,498,trip,,
-2.47174E+18,,22/06/2021 23:08,23/06/202110:01,"171,525,625","171,525,625",498,627,charge,,120
-2.47174E+18,,23/06/202110:01,23/06/202112:46,"171,525,625","1,728,815,625",627,38,trip,,
·2.47174E+l8,,23/06/2021 12:46,23/06/202114:12,"1,728,815,625","1,728,815,625",38,392,charge,,120
II,-2.47174E+18,23/06/202114:12,23/06/202115:11,"1,728,815,625","1,733,173,438",392,321,trip,,
