vin,timestamp,end_time,odo,end_odo,soc,"end_soc
76.8",event,,charce_mode  1-
·2.47174£+18,07/07/202116:32,07/07/202117:03,"1,939,525","1,939,525",513,,charge,,DC Charging
·2.47174£+18,07/07/202117:03,07/07/202120:00,"1,939,525","1,953,370,313",768,521,trip,,
·2.47174£+18,07/07/202120:03,07/07/202120:16,"1,953,370,313","195,394,375",521,517,ttip,,
·2.47174£+18,07/07/202121:17,07/07/2021 21:24,"195,394,375","1,954,407,813",513,509,trip,,
·2.47174£+18,07/07/202121:49,07/07/202122 :02,"1,954,407,813","1,955,428,125",50.S,494,trip,,
·2.47174£+18,07/07/202122:16,07/07/2021 22 :25,"1,955,428,125",19559,49,482,trip,,
·2.47174£+18,07/07/202122:35,07/07/202123:02,19559,"1,956,932,813",482,45,trip,,
·2.47174£+18,07/07/2021 23:02,07/07/202123 :17,"1,956,932,813","1,956,935,938",45,45,ttip,,
·2.47174£+18,07/07/202123:17,07/07/2021 23:36,"1,956,935,938","1,957,803,125",45,439,trip,,
·2.47174£+18,07/07/2021 23:39,08/07/202100 :24,"1,957,803,125","1,957,803,125",439,80,charge,,DC Charging
·2.47174£+18,08/07/202100:24,08/07/202100 :54,"1,957,803,125","1,959,396,875",80,776,trip,,
·2.47174£+18,08/07/202115:14,08/07/202115:37,"1,959,396,875","1,960,926,563",752,725,trip,,
-2.47174£+18,08/07/202115:45,08/07/202116:07,"1,960,926,563","1,962,165,625",725,709,ttip,,
·2.47174£+18,08/07/202116:07,08/07/202117:54,"1,962,165,625","1,966,276,563",709,635,trip,,
·2.47174£+18,08/07/202117:54,08/07/202119:46,"1,966,276,563","1,972,314,063",635,513,trip,,
·2.47174£+18,08/07/202119:48,08/07/202119:54,"1,972,314,063","1,972,565,625",513,513,trip,,
·2.47174£+18,08/07/202119:55,08/07/2021 22:09,"1,972,565,625","1,972,565,625",513,537,charge,,120
·2.47174£+18,08/07/202122:09,08/07/2021 22 :44,"1,972,565,625","1,974,534,375",537,509,ttip,,
·2.47174£+18,08/07/202122:45,08/07/2021 23:07,"1,974,534,375","1,974,534,375",509,525,charge,,240
·2.47174£+18,08/07/2021 23:07,08/07/2021 23:32,"1,974,534,375","197,600,625",525,498,trip,,
·2.47174£+18,08/07/202123:32,09/07/202110:23,19760.()625,"197,600,625",498,631,charge,,120
·2.47174£+18,09/07/202110:23,09/07/202114:38,19760.()625,"199,411,875",631,317,trip,,
·2.47174£+18,09/07/202114:38,09/07/202115:03,"199,411,875","199,411,875",317,317,charge,,120
·2.47174£+18,09/07/202115:03,09/07/202116:12,"199,411,875","1,999,745,313",317,227,trip,,
·2.47174£+18,09/07/202116:12,09/07/202116:24,"1,999,745,313","1,999,745,313",227,239,charge,,240
·2.47174£+18,09/07/202116:24,09/07/202116:27,"1,999,745,313","1,999,871,875",239,239,trip,,
·2.47174£+18,09/07/202116:28,09/07/202116:59,"1,999,871,875","1,999,871,875",239,56,charge,,DC Charging
·2.47174£+18,09/07/202116:59,09/07/202118:20,"1,999,871,875","200,418,125",56,474,trip,,
·2.47174£+18,09/07/202118:38,09/07/202119:05,"200,418,125","200,511,875",466,458,trip,,
·2.47174£+18,09/07/202120:18,09/07/2021 20:32,"200,511,875","2,005,425",423,411,trip,,
·2.47174£+18,09/07/202121:50,09/07/2021 22 :15,"2,005,425","200,675,625",403,388,trip,,
·2.47174£+18,09/07/202122:18,09/07/2021 22:25,"200,675,625","2,007,070,313",388,384,trip,,
