vin,,,,,,,,,
- timestamp,,,,,,,,,
,,end_time,odo,end_odo,soc,"end_soc
15.6",event,,charce_mode
·2.47174E+18,13/07/202118:56,13/07/2021 19:32,"2,193,815,625","2,195,895,313",188,,trip,,
·2.47174E+l8,13/07/202119:33,13/07/2021 20:03,"2,195,895,313","2,195,895,313",156,447,charge,,DC Charging
·2.47174E+18,13/07/2021 20:03,13/07/2021 21:09,"2,195,895,313","2,199,190,625",447,38,trip,,
·2.47174E+l8,13/07/202121:10,13/07/202121:42,"2,199,190,625","2,199,190,625",38,686,charge,,DC Charging
·2.47174E +18,13/07/202121:42,13/07/202122 :19,"2,199,190,625","2,201,240,625",686,643,trip,,
·2.47174E+18,13/07/202 122:19,13/07/2021 22 :31,"2,201,240,625","2,201,240,625",643,643,charge,,120
·2.47174E+l8,13/07/202122:31,13/07/2021 23:01,"2,201,240,625","2,202,970,313",643,607,trip,,
·2.47174E+18,14/07/202102:28,14/07/202102:30,"2,202,971,875","2,203,025",576,572,ttip,,
·2.47174E+l8,14/07/202 102:32,14/07/2021 10:47,"2,203,025","2,203,025",572,666,charge,,120
·2.47174E+l8,14/07/202 110:47,14/07/202111:OS,"2,203,025","2,204,184,375",666,654,trip,,
·2.47174E+18,14/07/202 113:15,14/07/2021 13:32,"2,204,184,375","2,205,354,688",65,631,trip,,
·2.47174E+l8,14/07/202 113:33,14/07/2021 14:05,"2,205,354,688","2,205,354,688",631,635,charge,,120
·2.47174E+18,14/07/202114:05,14/07/202114:17,"2,205,354,688","22,060,625",635,623,trip,,
·2.47174E+18,14/07/202 114:25,14/07/2021 14:35,"22,060,625","2,206,540,625",619,619,trip,,
·2.47174E+18,14/07/202 114:44,14/07/2021 15:01,"2,206,540,625","2,207,560,938",615,596,trip,,
·2.47174E+18,14/07/202 115:02,14/07/2021 15:53,"2,207,560,938","2,207,560,938",596,603,charge,,120
·2.47174E+18,14/07/202115:53,14/07/2021 16:49,"2,207,560,938","2,210,348,438",603,56,trip,,
·2.47174E+18,14/07/202116:50,14/07/202119:04,"2,210,348,438","2,210,348,438",56,584,charge,,120
·2.47174E+18,14/07/202 119:04,14/07/2021 19:25,"2,210,348,438","2,211,557,813",584,568,trip,,
·2.47174E+18,14/07/202 119:31,14/07/2021 19:36,"2,211,557,813","22,118,125",568,568,trip,,
·2.47174E+18,14/07/202 119:41,14/07/2021 19:54,"22,118,125",22 126.95313,564,556,trip,,
·2.47174E+18,14/07/202120:06,14/07/2021 20:24,"2,212,695,313","221,374,375",552,537,trip,,
·2.47174E+18,14/07/202122:45,14/07/2021 23:02,"221,374,375","2,215,082,813",517,501,trip,,
·2.47174E+18,14/07/202 123:24,14/07/2021 23:29,"2,215,082,813",22 154.03125,498,494,trip,,
·2.47174E+18,14/07/202 123:51,15/07/2021 00:05,"2,215,403,125","2,216,554,688",49,47,trip,,
·2.47174E+18,15/07/202 100:20,15/07/202100 :20,"221,655,625",22 165.5625,47,47,trip,,
·2.47174E+18,15/07/202100:21,15/07/2021 10:50,"221,655,625","221,655,625",47,596,charge,,120
·2.47174E+18,15/07/202110:50,15/07/202111:24,"221,655,625","2,217,954,688",596,58,trip,,
·2.47174E+18,15/07/202 111:24,15/07/2021 12 :11,"2,217,954,688",22 185.67188,58,568,trip,,
·2.47174E+18,15/07/202112:23,15/07/2021 12 :39,"2,218,567,188",22197,564,552,trip,,
·2.47174E+18,15/07/202 112:40,15/07/2021 12 :47,22197,22 199.51563,552,541,trip,,
·2.47174E+18,15/07/202112:47,15/07/2021 12:55,"2,219,951,563","2,219,951,563",541,,charge,,120
