'         vin          :r,timestamp,end_tim•,odo,end_odo,soc,end_soc,event,,"';h;;,._"
·2.47174E+18,01/05/202116:24,01/05/202116:40,"25,471,875","2,557,328,125",282,27,trip,,
·2.47174E+l8,01/05/202 118:19,01/05/2021 18:28,"2,557,328,125","25,628,125",266,258,trip,,
·2.47174E+18,01/05/202118:37,01/05/202118:51,"25,628,125","2,573,890,625",258,243,trip,,I
·2.47174E+18,01/05/202118:52,02/05/2021 00:04,"2,573,890,625","2,573,890,625",243,411,charge,,240       I
·2.47174E+18,02/05/202100:04,02/05/202100:06,"2,573,890,625","2,574,078,125",411,411,trip,,
·2.47174E+18,02/05/2021 00:34,02/05/2021 00:43,"2,574,078,125","2,582,265,625",411,396,trip,,I
·2.47174E+18,02/05/2021 01:00,02/05/202101:11,"2,582,265,625","258,834,375",392,384,trip,,
·2.47174E+18,02/05/202115:38,02/05/202116:11,"258,834,375","2,609,625",368,341,trip,,I
·2.47174E+18,02/05/202116:11,02/05/202116:53,"2,609,625","260,965,625",341,333,trip,,I
·2.47174E+18,02/05/202116:53,02/05/2021 16:57,"260,965,625","2,611,796,875",333,337,trip,,
·2.47174E+18,02/05/202 117:32,02/05/2021 17:38,"2,611,796,875","2,614,203,125",337,333,trip,,I
·2.47174E+18,03/05/202113:33,03/05/202113:50,"2,614,203,125","2,625,515,625",321,301,trip,,
·2.47174E+18,03/05/202113:54,03/05/202114 :31,"2,625,515,625","2,649,546,875",301,262,trip,,I
·2.47174E+18,03/05/202 118:32,03/05/202118:48,"2,649,546,875","2,657,875",258,243,trip,,I
·2.47174E•18,03/05/202118;54,03/05/202119;07,"2,657,875","266,453,125",243,239,trip,,
·2.47174E+18,03/05/202 119:26,03/05/202119:33,"266,453,125","2,667,984,375",235,231,trip,,I
·2.47174E+18,03/05/202119:56,03/05/2021 20:04,"2,667,984,375","2,671,890,625",231,227,trip,,
·2.47174E+18,03/05/2021 20:22,03/05/2021 20:43,"2,671,890,625","26,871,875",223,192,Uip,,I
·2.47174E+18,03/05/2021 21:44,03/05/2021 21:58,"26,871,875","269,496,875",192,176,trip,,I
·2.47174E+18,03/05/202122:06,03/05/2021 22 :21,"269,496,875","270,403,125",176,16,trip,,
·2.47174E+18,04/05/202114:41,04/05/2021 15:08,"270,403,125","2,718,265,625",156,133,trip,,I
·2.47174E+18,04/05/202115:20,04/05/2021 15:43,"2,718,265,625","273,428,125",129,105,trip,,
·2.47174E+18,04/05/202115:45,04/05/202117:46,"273,428,125","273,428,125",105,125,charge,,I
·2.47174E+18,04/05/202117:46,04/05/202118:08,"273,428,125","274,971,875",125,101,trip,,I
·2.47174E+18,04/05/202118:22,04/05/2021 18:45,"274,971,875","276,546,875",98,74,trip,,
·2.47174E+18,04/05/202119:07,04/05/2021 19:26,"276,546,875","277,653,125",7,54,trip,,I
·2.47174E+18,04/05/202119:27,04/05/2021 21:43,"277,653,125","277,653,125",54,223,charge,,240
·2.47174E+18,04/05/2021 21:43,04/05/2021 21:49,"277,653,125","2,777,484,375",223,223,Uip,,I
·2.47174E+18,04/05/2021 21:50,04/05/2021 22 :08,"2,777,484,375","2,777,484,375",223,243,charge,,240        I
·2.47174E+18,04/05/202122:08,04/05/2021 22 :12,"2,777,484,375","2,778,328,125",243,247,trip,,
·2.47174E+18,04/05/202122:12,05/05/202101:14,"2,778,328,125","2,778,328,125",247,513,charge,,240       I
·2.47174E+18,05/05/202101:14,05/05/202101:16,"2,778,328,125","277,859,375",513,513,trip,,
