vin     ,timestamp,end_time,odo,end_odo,soc,end_soc,event,charce_mode
·2.47174E+18,18/05/2021 01:37,18/05/2021 02 :36,"53,520,625","539,228,125",82.7,72.1,trip,
·2.47174E+l8,18/05/2021 02:37,18/05/202112:09,"539,228,125","539,228,125",72.1,83.5,charge,120
·2.47174E+18,18/05/202112:09,18/05/202113:57,"539,228,125","5,484,109,375",83.5,65.4,trip,
·2.47174E+l8,18/05/202114:24,18/05/202118:16,"5,484,109,375","5,648,609,375",65.4,32.9,trip,
·2.47174E+18,18/05/202118:34,18/05/202119:31,"5,648,609,375","5,648,609,375",32.9,34.1,charge,120
·2.47174E+18,18/05/202119:31,18/05/202119:50,"5,648,609,375","5,660,828,125",34.1,32.1,trip,
·2.47174E+l8,18/05/2021 21:01,18/05/2021 21:08,"5,660,828,125","5,662,734,375",32.1,32.1,trip,
·2.47174E+18,18/05/2021 21:09,18/05/2021 22:10,"5,662,734,375","5,662,734,375",32.1,81.5,charge,
·2.47174E+l8,18/05/202122:10,18/05/2021 23:57,"5,662,734,375","5,761,390,625",81.5,61.1,trip,
·2.47174E+18,18/05/2021 23:58,19/05/202100:30,"5,761,390,625","578,321,875",61.1,56.0,trip,
·2.47174E+18,19/05/2021 00:31,19/05/202101:22,"578,321,875","578,321,875",56.0,56.8,charge,120
·2.47174E+l8,19/05/2021 01:22,19/05/202102:27,"578,321,875","585,003,125",56.8,42.3,trip,
·2.47174E+18,19/05/2021 02:27,19/05/202110:08,"585,003,125","585,003,125",42.3,51.7,charge,120
·2.47174E+l8,19/05/202110:08,19/05/202111:29,"585,003,125","5,906,265,625",51.7,41.1,trip,
·2.47174E+18,19/05/202111:31,19/05/202112 :31,"5,906,265,625","5,906,265,625",41.1,83.1,charge,DC Charging
·2.47174E+18,19/05/202112:31,19/05/202112 :46,"5,906,265,625","591,503,125",83.1,81.1,trip,
·2.47174E+l8,19/05/202113:48,19/05/202113:59,"591,503,125","591,846,875",81.1,80.7,trip,
·2.47174E+18,19/05/202114:05,19/05/202114 :24,"591,846,875","59,283,125",80.3,79.6,trip,
·2.47174E+l8,19/05/202114:25,19/05/202114:29,"59,283,125","59,283,125",79.6,79.6,charge,240
·2.47174E+18,19/05/202114:29,19/05/202116:09,"59,283,125","6,001,046,875",79.6,65.0,trip,
·2.47174E+18,19/05/202116:29,19/05/202116:33,"6,001,046,875","6,001,046,875",64.7,64.7,trip,
·2.47174E+l8,19/05/202116:33,19/05/202118:16,"6,001,046,875","605,125",64.7,54.9,trip,
·2.47174E+18,19/05/202118:16,19/05/202118:33,"605,125","605,125",54.9,54.9,charge,120
·2.47174E+l8,19/05/202118:33,19/05/202118:51,"605,125","6,063,265,625",54.9,52.9,trip,
·2.47174E+18,19/05/202118:51,19/05/2021 21:05,"6,063,265,625","6,063,265,625",52.9,72.9,charge,240
·2.47174E+18,19/05/2021 21:05,19/05/2021 21:35,"6,063,265,625","6,078,125",72.9,69.8,trip,
·2.47174E+l8,19/05/2021 21:36,20/05/202110:29,"6,078,125","6,078,125",69.8,85.0,charge,120
·2.47174E+18,20/05/202110:29,20/05/202114:14,"6,078,125","6,243,375",85.0,48.6,trip,
·2.47174E+l8,20/05/202114:25,20/05/202114:44,"6,243,375","625,046,875",48.6,47.4,trip,
·2.47174E+18,20/05/202114:45,20/05/202115:05,"625,046,875","6,260,734,375",47.4,45.0,trip,
·2.47174E+18,20/05/202115:07,20/05/202119:20,"6,260,734,375","6,411,953,125",45.0,1702,trip,
·2.47174E+l8,20/05/202119:21,20/05/2021 20:22,"6,411,953,125","6,411,953,125",1702,69.0,charge, DCCharging
