vin,timestamp,end_time,duration,odo,end_odo,soc,end_soc,event,charge_mode
-1.12313E+18,07/01/202120:46,07/01/202120:48,Odays00:02:31,"1,744,117,813","1,744,133,637",,8.6,trip,
-l.12313E+18,07/01/202120:48,07/01/202121:49,0days01:00:44,"1,744,133,637","1,744,133,637",8.6,69,charge,DCCharging
-1.12313E+18,07/01/202121:49,08/01/202100:01,0days02:12:01,"1,744,133,637",174475.1094,69,474,trip,
-1.12313E+18,08/01/202103:52,08/01/202104:00,0days00:07:29,"1,744,751,094",174475.1094,478,462,trip,
-1.12313E+18,08/01/202112:10,08/01/202113:29,Odays01:18:15,"1,744,751,094","1,744,911,563",447,345,trip,
-1.12313E+18,08/01/202113:30,08/01/202114:37,Odays01:07:10,"1,744,911,563","1,744,911,563",345,796,charge,DCCharging
-1.12313E+18,08/01/202114:37,08/01/202115:25,0days00:48:02,"1,744,911,563","1,745,232,813",796,709,trip,
-1.12313E+18,08/01/202115:25,08/01/202115:28,0days00:03:11,"1,745,232,813","1,745,233,281",709,709,trip,
-1.12313E+18,08/01/202115:28,08/01/202117:15,odays01:46:48,"1,745,233,281","1,745,752,813",709,537,trip,
-1.12313E+18,08/01/202117:25,08/01/202118:05,Odays00:39:08,"1,745,752,813","1,745,898,125",537,474,trip,
-l.12313E+18,09/01/202100:49,09/01/202102:09,0days01:19:51,"1,745,898,125","1,746,861,406",474,9,trip,
-1.12313E+18,09/01/202102:09,09/01/202103:02,0days00:52:43,"1,746,861,406","1,746,861,406",9,674,charge,DCCharging
-1.12313E+18,09/01/202103:02,09/01/202104:55,0days01:52:58,"1,746,861,406",174778.2813,674,345,trip,
-1.12313E+18,09/01/202117:56,09/01/202118:05,odays00:09:42,"1,747,782,813","1,747,811,875",341,337,trip,
-1.12313E+l8,09/01/202118:07,09/01/202118:07,Odays00:00:02,"1,747,811,875","1,747,811,875",337,337,trip,
-1.12313E+18,09/01/202118:11,09/01/202118:11,0days00:00:03,"1,747,811,875","1,747,834,388",,333,trip,
-1.12313E+18,09/01/202118:11,09/01/202119:19,0days01:07:59,"1,747,834,388","1,747,834,388",333,831,charge,DCCharging
-1.12313E+l8,09/01/202119:19,09/01/202121:12,Odays01:53:26,"1,747,834,388","17,485,575",831,584,trip,
-1.12313E+18,09/01/202121:16,09/01/202121:55,Odays00:39:20,"1,748,557,655","1,748,883,438",584,454,trip,
-l.12313E+18,09/01/202121:57,09/01/202123:24,0days01:27:21,"1,748,883,438","1,748,883,438",454,874,charge,DCCharging
-1.12313E+18,09/01/202123:24,09/01/202123:49,0days00:24:36,"1,748,883,438","1,749,069,531",874,827,trip,
-1.12313E+18,10/01/202113:02,10/01/202113:16,0days00:13:43,"1,749,069,531","1,749,102,969",862,835,trip,
-1.12313E+18,10/01/202113:33,10/01/202113:44,Odays00:10:50,"1,749,102,969","1,749,137,344",835,819,trip,
-1.12313E+18,10/01/202119:04,10/01/202121:30,Odays02:25:58,"1,749,137,344","1,750,451,563",819,278,trip,
-1.12313E+18,10/01/202121:30,10/01/202121:31,0days00:01:05,"1,750,451,563","1,750,452,031",278,278,trip,
-1.12313E+18,10/01/202121:32,10/01/202122:50,0days01:18:01,"1,750,452,031","1,750,452,031",278,858,charge,DCCharging
-1.12313E+18,10/01/202122:50,11/01/202102:31,odays03:41:01,"1,750,452,031",175219.7555,858,155,trip,
-1.12313E+18,11/01/202103:58,11/01/202104:03,Odays00:05:07,"1,752,197,655","1,752,226,875",18,175,trip,
-l.12313E+18,11/01/202104:04,11/01/202105:01,Odays00:57:01,"1,752,226,875","1,752,226,875",176,741,charge,DCCharging
-1.12313E+18,11/01/202105:01,11/01/202116:00,0days10:58:23,"1,752,226,875","1,753,084,375",741,368,trip,
-1.12313E+18,11/01/202116:00,11/01/202116:14,0days00:14:31,"1,753,084,375","175,312,625",368,36.0,trip,
-1.12313E+18,11/01/202115:15,11/01/202117:21,odays01:05:41,"175,312,525","175,312,525",35.0,831,charge,DCCharging
