1,"A
vin","B
timestamp","e
end_time","o
odo","E
end odo","F
soc",,"G
end soc","H
event",charge  mode
2,-8.99632E+l8,01/01/2021 20:31,01/01/2021 20:38,"4,436,640,625","443,946,875",564,,549,trip,
3,-8.99632E+18,01/01/202120 :39,02/01/202115:13,"443,946,875","443,946,875",549,,100,charge,240
4,-8.99632E+18,02/01/202115:13,02/01/202115:21,"443,946,875","44,425",100,,100,trip,
5,-8.99632E+18,02/01/2021 15:21,02/01/202117:46,"44,425","4,457,125",100,,945,trip,
6,-8.99632E+18,02/01/2021 17:46,02/01/202117:53,"4,457,125","4,461,453,125",945,,945,trip,
7,-8.99632E+l8,02/01/2021 18:18,02/01/202118:19,"4,461,453,125","4,461,484,375",941,,941,trip,
8,-8.99632E+18,02/01/202121:28,02/01/2021 21:47,"4,461,484,375","448,075",937,,894,trip,
9,-8.99632E+18,03/01/2021 14:08,03/01/202115:01,"448,075","4,560,171,875",89,,701,trip,
1o,-8.99632E+18,03/01/2021 15:18,03/01/202115:21,"4,560,171,875","4,560,359,375",701,,701,trip,
11,-8.99632E+18,03/01/2021 19:35,03/01/2021 21:04,"4,560,359,375","46,569,375",705,,439,trip,
12,-8.99632E+l8,03/01/2021 21:17,03/01/2021 21:18,"46,569,375","4,658,234,375",435,,435,trip,
13,-8.99632E+18,03/01/202121:18,03/01/2021 21:56,"4,658,234,375","4,658,234,375",435,,466,charge,240
14,-8.99632E+l8,03/01/202121:56,03/01/2021 22:00,"4,658,234,375","465,890,625",466,,466,trip,
15,-8.99632E+18,03/01/2021 22:01,03/01/2021 22:08,"4,658,921,875","4,662,390,625",466,,454,trip,
16,-8.99632E+l8,04/01/2021 17:45,04/01/202117:51,"4,662,390,625","4,665,203,125",458,,45,trip,
17,-8.99632E+l8,04/01/2021 17:54,04/01/202117:54,"4,665,203,125","4,665,203,125",45,,,charge,240
18,-8.99632E+18,04/01/202117:54,04/01/202118:16,"4,665,203,125","4,667,953,125",,,443,trip,
19,-8.99632E+l8,04/01/202118:16,05/01/2021 01:28,"4,667,953,125","4,667,953,125",443,,725,charge,240
2o,-8.99632E+18,05/01/2021 01:28,05/01/2021 02:39,"4,667,953,125","4,768,390,625",725,,486,trip,
21,-8.99632E+l8,05/01/2021 03:00,C<S/01/2021 04:01,"4,768,390,625","4,865,609,375",482,,164,trip,
22,-8.99632E+l8,05/01/2021 11:47,05/01/2021 11:56,"4,865,609,375","4,868,421,875",168,,16,trip,
23,-8.99632E+18,05/01/202111:57,05/01/2021 11:59,"4,868,421,875","4,868,421,875",16,,16,charge,240
24,-8.99632E+l8,05/01/202111:59,05/01/2021 11:59,"4,868,421,875","4,868,421,875",16,,16,trip,
25,-8.99632E+18,05/01/2021 11:59,05/01/202117:05,"4,868,421,875","4,868,421,875",16,,584,charge,240
26,-8.99632E+18,05/01/2021 17:05,C<S/01/202117:12,"4,868,421,875","4,870,953,125",584,,588,trip,
27,-8.99632E+l8,05/01/2021 18:28,05/01/2021 18:48,"4,870,953,125","4,880,484,375",592,,584,trip,
28,·8.99G32E•18,05/01/2021 18:52,(•5/01/2021 18:54,"4,880,484,375","4,880,484,375",;a,,!i9.G,charge,OC Charging
29,-8.99632E+18,05/01/202118:54,05/01/2021 18:54,"4,880,484,375","4,880,484,375",596,,596,trip,
3o,-8.99632E+18,05/01/2021 18:54,05/01/202119:29,"4,880,484,375","4,880,484,375",596,,811,charge,DC Charging
31,-8.99632E+18,05/01/2021 19:29,C<S/01/2021 20:28,"4,880,484,375","497,309,375",811,,607,trip,
32,-8.99632E+l8,05/01/2021 20:28,05/01/2021 20:31,"497,309,375","497,325",607,,607,trip,
33,-8.99632E+18,05/01/202120 :31,05/01/2021 20:34,"497,325","4,974,078,125",607,,603,trip,
