vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
-8.99632E+18,2021-02-13 23:18:00,2021-02-15 11:09:00,10142.79688,10142.79688,56.0,100.0,charge,240
-8.99632E+18,2021-02-15 11:09:00,2021-02-15 12:05:00,10142.79688,10210.1875,100.0,83.1,trip,0
-8.99632E+18,2021-02-15 12:05:00,2021-02-15 13:08:00,10210.1875,10210.21875,83.1,82.7,trip,0
-8.99632E+18,2021-02-15 13:08:00,2021-02-15 13:15:00,10210.21875,10212.20313,82.7,82.7,trip,0
-8.99632E+18,2021-02-15 15:30:00,2021-02-15 16:11:00,10212.20313,10272.75,81.9,65.4,trip,0
-8.99632E+18,2021-02-15 16:11:00,2021-02-15 22:37:00,10272.75,10272.75,65.4,100.0,charge,240
-8.99632E+18,2021-02-15 22:37:00,2021-02-16 13:13:00,10272.75,10277.89063,100.0,100.0,trip,0
-8.99632E+18,2021-02-16 13:13:00,2021-02-16 13:23:00,10277.89063,10282.57813,100.0,98.8,trip,0
-8.99632E+18,2021-02-16 13:23:00,2021-02-17 18:51:00,10282.57813,10411.04688,98.8,70.1,trip,0
-8.99632E+18,2021-02-17 18:51:00,2021-02-17 19:14:00,10411.04688,10415.17188,70.1,69.4,trip,0
-8.99632E+18,2021-02-17 20:26:00,2021-02-17 22:05:00,10415.17188,10500.6875,69.8,50.1,trip,0
-8.99632E+18,2021-02-17 22:06:00,2021-02-18 09:55:00,10500.6875,10500.70313,50.1,100.0,charge,240
-8.99632E+18,2021-02-18 09:55:00,2021-02-18 09:56:00,10500.70313,10500.71875,100.0,100.0,trip,0
-8.99632E+18,2021-02-18 09:56:00,2021-02-22 15:22:00,10500.71875,10500.75,100.0,100.0,trip,0
-8.99632E+18,2021-02-22 15:22:00,2021-02-22 15:27:00,10500.75,10502.40625,100.0,100.0,trip,0
-8.99632E+18,2021-02-22 15:49:00,2021-02-22 15:56:00,10502.40625,10504.34375,99.6,99.6,trip,0
-8.99632E+18,2021-02-23 13:01:00,2021-02-23 13:02:00,10504.35938,10504.375,98.8,98.8,trip,0
-8.99632E+18,2021-02-23 23:12:00,2021-02-23 23:27:00,10504.375,10522.6875,98.8,93.7,trip,0
-8.99632E+18,2021-02-24 01:04:00,2021-02-24 01:33:00,10522.6875,10542.9375,92.9,87.0,trip,0
-8.99632E+18,2021-02-24 01:34:00,2021-02-24 03:58:00,10542.9375,10542.9375,87.0,100.0,charge,240
-8.99632E+18,2021-02-24 03:58:00,2021-02-24 14:10:00,10542.9375,10542.96875,100.0,100.0,trip,0
-8.99632E+18,2021-02-24 14:10:00,2021-02-24 14:17:00,10542.96875,10544.8125,100.0,100.0,trip,0
-8.99632E+18,2021-02-24 14:19:00,2021-02-24 15:13:00,10544.8125,10628.625,100.0,81.5,trip,0
-8.99632E+18,2021-02-24 15:13:00,2021-02-24 15:38:00,10628.625,10632.57813,81.5,80.3,trip,0
-8.99632E+18,2021-02-24 15:38:00,2021-02-24 17:10:00,10632.57813,10716.6875,80.3,59.6,trip,0
-8.99632E+18,2021-02-24 17:13:00,2021-02-24 17:27:00,10716.6875,10722.78125,59.2,58.0,trip,0
-8.99632E+18,2021-02-25 11:23:00,2021-02-25 11:23:00,10722.79688,10722.79688,58.4,58.4,trip,0
-8.99632E+18,2021-02-25 11:24:00,2021-02-25 12:57:00,10722.79688,10722.79688,58.4,67.0,charge,240
-8.99632E+18,2021-02-25 12:57:00,2021-02-25 12:57:00,10722.79688,10722.8125,67.0,67.0,trip,0
-8.99632E+18,2021-02-25 12:58:00,2021-02-25 17:40:00,10722.8125,10722.8125,67.0,93.3,charge,240
-8.99632E+18,2021-02-25 17:40:00,2021-02-25 17:54:00,10722.8125,10730.67188,93.3,92.1,trip,0
-8.99632E+18,2021-02-25 17:56:00,2021-02-25 18:46:00,10730.67188,10730.67188,92.1,92.1,charge,0
-8.99632E+18,2021-02-25 18:46:00,2021-02-25 20:00:00,10730.67188,10812.1875,92.1,74.9,trip,0
-8.99632E+18,2021-02-25 21:59:00,2021-02-25 22:13:00,10812.1875,10827.82813,73.7,69.0,trip,0
-8.99632E+18,2021-02-25 23:42:00,2021-02-26 01:09:00,10827.82813,10933.90625,69.0,33.3,trip,0
-8.99632E+18,2021-02-26 01:11:00,2021-02-26 15:25:00,10933.90625,10933.90625,33.3,100.0,charge,240
-8.99632E+18,2021-02-26 15:25:00,2021-02-26 16:42:00,10933.90625,11017.64063,100.0,83.1,trip,0
-8.99632E+18,2021-02-26 16:42:00,2021-02-26 17:27:00,11017.64063,11034.1875,83.1,78.4,trip,0
-8.99632E+18,2021-02-26 17:27:00,2021-02-26 18:17:00,11034.1875,11052.39063,78.4,75.6,trip,0
-8.99632E+18,2021-02-26 20:37:00,2021-02-26 22:31:00,11052.39063,11137.67188,75.6,58.8,trip,0
-8.99632E+18,2021-02-26 22:32:00,2021-02-27 15:04:00,11137.67188,11137.67188,58.8,100.0,charge,240
