vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
-8.99632e+18,0.0,0.11666666666666667,4436.640625,4439.46875,56.4,54.9,trip,0
-8.99632e+18,0.13333333333333333,18.7,4439.46875,4439.46875,54.9,100.0,charge,240
-8.99632e+18,18.833333333333332,21.25,4442.5,4457.125,100.0,94.5,trip,0
-8.99632e+18,21.783333333333335,21.8,4461.45,4461.48375,94.1,94.1,trip,0
-8.99632e+18,24.95,25.266666666666666,4461.48375,4480.75,93.7,89.4,trip,0
-8.99632e+18,41.61666666666667,42.5,4480.75,4560.171875,89.0,70.1,trip,0
-8.99632e+18,42.78333333333333,42.833333333333336,4560.171875,4560.359375,70.1,70.1,trip,0
-8.99632e+18,47.06666666666667,48.55,4560.359375,4656.9375,70.5,43.9,trip,0
-8.99632e+18,48.766666666666666,48.78333333333333,4656.9375,4658.234375,43.5,43.5,trip,0
-8.99632e+18,48.78333333333333,49.416666666666664,4658.234375,4658.234375,43.5,46.6,charge,240
-8.99632e+18,49.416666666666664,49.483333333333334,4658.234375,4658.234375,46.6,46.6,trip,0
-8.99632e+18,49.5,49.61666666666667,4658.921875,4662.390625,46.6,45.4,trip,0
-8.99632e+18,69.23333333333333,69.33333333333333,4662.390625,4665.203125,45.8,45.0,trip,0
-8.99632e+18,69.75,76.95,4667.953125,4667.953125,44.3,72.5,charge,240
-8.99632e+18,76.95,78.13333333333334,4667.953125,4768.390625,72.5,48.6,trip,0
-8.99632e+18,78.48333333333333,79.5,4768.390625,4865.609375,48.2,16.4,trip,0
-8.99632e+18,87.26666666666667,87.41666666666667,4865.609375,4868.421875,16.8,16.0,trip,0
-8.99632e+18,87.46666666666667,92.56666666666666,4868.421875,4868.421875,16.0,58.4,charge,240
-8.99632e+18,92.56666666666666,92.68333333333334,4868.421875,4870.953125,58.4,58.8,trip,0
-8.99632e+18,93.95,94.28333333333333,4870.953125,4880.484375,59.2,58.4,trip,0
-8.99632e+18,94.35,94.38333333333334,4880.484375,4880.484375,58.0,59.6,charge,DCCharging
-8.99632e+18,94.38333333333334,94.96666666666667,4880.484375,4880.484375,59.6,81.1,charge,DCCharging
-8.99632e+18,94.96666666666667,95.95,4880.484375,4973.09375,81.1,60.7,trip,0
-8.99632e+18,95.95,96.0,4973.09375,4973.25,60.7,60.7,trip,0
-8.99632e+18,96.0,96.05,4973.25,4974.078125,60.7,60.3,trip,0
-8.99632e+18,114.13333333333334,114.66666666666667,4975.34375,4975.34375,59.6,64.3,charge,240
-8.99632e+18,114.66666666666667,115.05,4975.34375,4981.546875,64.3,62.3,trip,0
-8.99632e+18,115.05,115.06666666666666,4981.546875,4981.5625,62.3,62.3,trip,0
-8.99632e+18,115.06666666666666,117.65,4981.5625,4998.109375,62.3,59.6,trip,0
-8.99632e+18,117.65,117.7,4998.109375,4998.59375,59.6,59.6,trip,0
-8.99632e+18,117.7,118.1,4998.59375,5000.78125,59.6,58.8,trip,0
-8.99632e+18,118.1,118.55,5000.78125,5006.25,58.8,58.4,trip,0
-8.99632e+18,118.63333333333334,118.68333333333334,5006.25,5007.3125,57.6,57.6,trip,0
-8.99632e+18,118.68333333333334,118.71666666666667,5007.3125,5007.5,57.6,57.6,trip,0
-8.99632e+18,119.06666666666666,119.08333333333333,5007.5,5008.265625,68.6,68.6,trip,0
-8.99632e+18,120.4,120.61666666666666,5010.078125,5015.25,68.2,67.0,trip,0
-8.99632e+18,120.76666666666667,120.95,5015.25,5024.5625,66.6,64.7,trip,0
-8.99632e+18,121.25,121.31666666666666,5024.5625,5025.71875,63.9,63.9,trip,0
-8.99632e+18,133.88333333333333,134.35,5025.71875,5047.5,63.5,57.6,trip,0
-8.99632e+18,137.05,137.65,5047.5,5070.328125,56.4,52.5,trip,0
-8.99632e+18,142.68333333333334,143.36666666666667,5070.328125,5086.34375,51.7,49.4,trip,0
-8.99632e+18,144.38333333333333,144.5,5086.34375,5088.5,49.0,48.6,trip,0
-8.99632e+18,145.3,155.55,5088.5,5105.359375,78.4,74.1,trip,0
-8.99632e+18,155.55,156.43333333333334,5105.359375,5189.65625,74.1,44.3,trip,0
-8.99632e+18,158.41666666666666,158.7,5189.65625,5201.6875,43.5,40.0,trip,0
-8.99632e+18,158.7,160.86666666666667,5201.6875,5201.765625,40.0,40.3,trip,0
-8.99632e+18,160.86666666666667,160.98333333333332,5201.765625,5204.515625,40.3,40.0,trip,0
-8.99632e+18,161.0,170.21666666666667,5204.515625,5204.515625,40.0,100.0,charge,240
-8.99632e+18,181.48333333333332,182.3,5207.25,5286.109375,100.0,78.4,trip,0
-8.99632e+18,185.23333333333332,185.28333333333333,5286.109375,5287.15625,77.6,77.6,trip,0
-8.99632e+18,185.28333333333333,187.61666666666667,5287.15625,5366.84375,77.6,56.8,trip,0
-8.99632e+18,187.61666666666667,187.63333333333333,5366.84375,5366.875,56.8,56.8,trip,0
-8.99632e+18,187.75,210.73333333333332,5445.390625,5445.390625,56.4,78.0,charge,120
-8.99632e+18,215.06666666666666,215.36666666666667,5446.46875,5454.53125,76.4,74.1,trip,0
-8.99632e+18,215.36666666666667,216.4,5454.53125,5540.78125,74.1,48.6,trip,0
-8.99632e+18,219.61666666666667,233.68333333333334,5540.78125,5540.78125,49.4,74.5,charge,120
-8.99632e+18,233.68333333333334,233.78333333333333,5540.78125,5540.8125,74.5,74.1,trip,0
-8.99632e+18,233.78333333333333,234.73333333333332,5540.8125,5631.203125,74.1,54.9,trip,0
-8.99632e+18,236.51666666666668,237.85,5635.734375,5730.109375,53.3,27.0,trip,0
-8.99632e+18,238.0,238.23333333333332,5730.125,5735.203125,27.0,26.2,trip,0
-8.99632e+18,238.23333333333332,254.01666666666668,5735.203125,5735.203125,26.2,100.0,charge,240
-8.99632e+18,254.01666666666668,254.15,5735.203125,5739.125,100.0,99.2,trip,0
-8.99632e+18,254.15,255.13333333333333,5739.125,5824.203125,99.2,78.0,trip,0
-8.99632e+18,255.13333333333333,280.6,5824.203125,5909.734375,78.0,53.7,trip,0
-8.99632e+18,280.6,280.6333333333333,5909.734375,5909.765625,53.7,53.7,trip,0
-8.99632e+18,280.65,285.8,5909.765625,5909.765625,53.7,62.3,charge,120
-8.99632e+18,285.8,286.73333333333335,5909.765625,5996.625,62.3,41.5,trip,0
-8.99632e+18,286.8,286.8333333333333,5996.625,5996.96875,41.5,41.5,trip,0
-8.99632e+18,286.85,286.98333333333335,5996.96875,5996.96875,41.5,50.1,charge,DCCharging
-8.99632e+18,286.98333333333335,288.25,5996.96875,5998.875,50.1,50.9,trip,0
-8.99632e+18,288.25,289.43333333333334,5998.875,6084.390625,50.9,25.8,trip,0
-8.99632e+18,289.51666666666665,291.6,6084.390625,6084.390625,25.8,29.4,charge,120
-8.99632e+18,291.6,291.68333333333334,6084.390625,6087.234375,29.4,28.2,trip,0
-8.99632e+18,291.7,301.31666666666666,6087.234375,6087.234375,28.2,100.0,charge,240
-8.99632e+18,301.31666666666666,302.26666666666665,6087.234375,6163.546875,100.0,85.8,trip,0
-8.99632e+18,302.26666666666665,302.35,6163.546875,6163.59375,85.8,85.4,trip,0
-8.99632e+18,302.35,302.3833333333333,6163.59375,6164.609375,85.4,85.4,trip,0
-8.99632e+18,305.0833333333333,305.1,6164.609375,6164.625,84.3,84.3,trip,0
-8.99632e+18,305.46666666666664,305.6166666666667,6165.65625,6168.609375,84.3,83.5,trip,0
-8.99632e+18,309.48333333333335,309.6333333333333,6168.609375,6170.328125,83.1,82.7,trip,0
-8.99632e+18,309.78333333333336,309.8,6170.328125,6170.34375,82.3,82.3,trip,0
-8.99632e+18,309.8333333333333,309.8833333333333,6170.34375,6170.34375,82.3,82.3,trip,0
-8.99632e+18,309.9,309.93333333333334,6170.34375,6170.640625,82.3,82.3,trip,0
-8.99632e+18,309.98333333333335,310.65,6170.640625,6180.640625,82.3,80.3,trip,0
-8.99632e+18,310.65,310.71666666666664,6180.640625,6181.84375,80.3,80.0,trip,0
-8.99632e+18,310.71666666666664,311.35,6181.84375,6181.84375,80.0,81.5,charge,240
-8.99632e+18,311.35,311.45,6181.84375,6181.84375,81.5,81.5,trip,0
-8.99632e+18,313.5,314.45,6181.84375,6267.171875,81.5,56.4,trip,0
-8.99632e+18,314.45,325.3666666666667,6267.171875,6267.25,56.4,56.4,trip,0
-8.99632e+18,325.3666666666667,326.4166666666667,6267.25,6351.96875,56.4,38.8,trip,0
-8.99632e+18,329.01666666666665,329.56666666666666,6351.96875,6380.484375,38.4,30.5,trip,0
-8.99632e+18,329.56666666666666,330.05,6380.484375,6380.484375,30.5,65.4,charge,DCCharging
-8.99632e+18,330.05,330.73333333333335,6380.484375,6445.078125,65.4,45.8,trip,0
-8.99632e+18,331.15,331.1666666666667,6445.078125,6445.078125,45.8,45.8,trip,0
-8.99632e+18,331.1666666666667,335.23333333333335,6445.078125,6445.078125,45.8,52.5,charge,120
-8.99632e+18,335.23333333333335,335.53333333333336,6445.078125,6454.171875,52.5,51.3,trip,0
-8.99632e+18,335.53333333333336,335.55,6454.171875,6454.234375,51.3,51.3,trip,0
-8.99632e+18,336.6333333333333,336.9,6454.234375,6462.421875,51.3,49.0,trip,0
-8.99632e+18,337.48333333333335,337.51666666666665,6462.421875,6462.625,49.0,49.0,trip,0
-8.99632e+18,337.53333333333336,337.96666666666664,6462.625,6477.234375,49.0,46.2,trip,0
-8.99632e+18,338.18333333333334,338.48333333333335,6477.234375,6488.34375,45.4,43.5,trip,0
-8.99632e+18,349.1333333333333,377.81666666666666,6563.365008,6563.365008,41.5,92.5,charge,120
-8.99632e+18,377.81666666666666,378.71666666666664,6563.365008,6569.703125,92.5,73.7,trip,0
-8.99632e+18,383.1,383.25,6569.703125,6573.8125,72.5,72.1,trip,0
-8.99632e+18,383.4166666666667,383.56666666666666,6573.8125,6577.453125,71.3,70.5,trip,0
-8.99632e+18,383.6,383.9166666666667,6577.453125,6589.171875,70.5,67.8,trip,0
-8.99632e+18,383.9166666666667,384.05,6589.171875,6589.28125,67.8,67.4,trip,0
-8.99632e+18,384.05,384.75,6589.28125,6663.453125,67.4,45.8,trip,0
-8.99632e+18,385.55,385.71666666666664,6663.453125,6676.609375,46.2,42.7,trip,0
-8.99632e+18,386.48333333333335,386.68333333333334,6676.609375,6689.75,42.7,39.2,trip,0
-8.99632e+18,398.8,421.25,6766.881646,6766.881646,38.8,78.0,charge,120
-8.99632e+18,421.25,422.46666666666664,6766.881646,6774.59375,78.0,60.3,trip,0
-8.99632e+18,424.1666666666667,424.45,6777.3125,6783.890625,60.0,59.2,trip,0
-8.99632e+18,424.73333333333335,424.98333333333335,6783.890625,6784.484375,58.4,58.4,trip,0
-8.99632e+18,426.5,426.55,6784.484375,6785.125,58.0,58.0,trip,0
-8.99632e+18,427.93333333333334,428.96666666666664,6785.125,6864.15625,58.0,29.8,trip,0
-8.99632e+18,432.53333333333336,453.81666666666666,6864.15625,6864.15625,32.1,69.4,charge,120
-8.99632e+18,453.81666666666666,453.8666666666667,6864.15625,6865.796875,69.4,69.0,trip,0
-8.99632e+18,453.8666666666667,456.1333333333333,6865.796875,6950.296875,69.0,50.5,trip,0
-8.99632e+18,456.1333333333333,457.31666666666666,6950.296875,7000.1875,50.5,38.0,trip,0
-8.99632e+18,457.3333333333333,458.1166666666667,7000.1875,7000.1875,38.0,79.6,charge,DCCharging
-8.99632e+18,458.1166666666667,458.75,7000.1875,7057.0,79.6,61.9,trip,0
-8.99632e+18,459.8,469.1333333333333,7057.0,7057.0,61.9,78.8,charge,120
-8.99632e+18,469.1333333333333,470.3333333333333,7057.0,7137.109375,78.8,59.2,trip,0
-8.99632e+18,470.3333333333333,470.3833333333333,7137.109375,7138.171875,59.2,59.2,trip,0
